KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,rsa2048,12210.94,41409.08,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,ecdsa_p256,11527.69,35695.47,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,ed25519,11407.9,34987.19,,,,,,,,,,,,,,,,,,,,,,,
secp256r1,rsa2048,11477.12,37709.48,,,,,,,,,,,,,,,,,,,,,,,
x25519,rsa2048,11424.62,37058.06,,,,,,,,,,,,,,,,,,,,,,,
mlkem512,mldsa44,11097.96,105253.99,,,,,,,,,,,,,,,,,,,,,,,
mlkem512,falcon512,10841.17,65355.13,,,,,,,,,,,,,,,,,,,,,,,
mlkem512,sphincssha2128fsimple,21392.9,383485.47,,,,,,,,,,,,,,,,,,,,,,,
hqc128,mldsa44,24288.86,156244.86,,,,,,,,,,,,,,,,,,,,,,,
hqc128,falcon512,24723.59,117645.91,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,mldsa44,11867.66,95013.24,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,falcon512,12014.42,55072.27,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,sphincssha2128fsimple,22821.37,373292.91,,,,,,,,,,,,,,,,,,,,,,,
secp256r1,mldsa44,11062,91298.88,,,,,,,,,,,,,,,,,,,,,,,
x25519,falcon512,11249.6,50711.74,,,,,,,,,,,,,,,,,,,,,,,
mlkem512,rsa2048,11224.52,51639.3,,,,,,,,,,,,,,,,,,,,,,,
mlkem512,ecdsa_p256,11114.39,45836.77,,,,,,,,,,,,,,,,,,,,,,,
mlkem512,ed25519,11560.73,45110.46,,,,,,,,,,,,,,,,,,,,,,,
hqc128,rsa2048,24643.51,102661.15,,,,,,,,,,,,,,,,,,,,,,,
hqc128,ecdsa_p256,23974.78,96905,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
KEM / DS,Avg Latency (ms),,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / falcon512,10841.17,,,,,,,,,,,,,,,,,,,,,,,,,
secp256r1 / mldsa44,11062,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / mldsa44,11097.96,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / ecdsa_p256,11114.39,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / rsa2048,11224.52,,,,,,,,,,,,,,,,,,,,,,,,,
x25519 / falcon512,11249.6,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / ed25519,11407.9,,,,,,,,,,,,,,,,,,,,,,,,,
x25519 / rsa2048,11424.62,,,,,,,,,,,,,,,,,,,,,,,,,
secp256r1 / rsa2048,11477.12,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / ecdsa_p256,11527.69,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / ed25519,11560.73,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / mldsa44,11867.66,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / falcon512,12014.42,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / rsa2048,12210.94,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / sphincs,21392.9,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / sphincs,22821.37,,,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / ecdsa_p256,23974.78,,,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / mldsa44,24288.86,,,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / rsa2048,24643.51,,,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / falcon512,24723.59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
KEM,Avg Bandwidth (KB),,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / ed25519,34987.19,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / ecdsa_p256,35695.47,,,,,,,,,,,,,,,,,,,,,,,,,
x25519 / rsa2048,37058.06,,,,,,,,,,,,,,,,,,,,,,,,,
secp256r1 / rsa2048,37709.48,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / rsa2048,41409.08,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / ed25519,45110.46,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / ecdsa_p256,45836.77,,,,,,,,,,,,,,,,,,,,,,,,,
x25519 / falcon512,50711.74,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / rsa2048,51639.3,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / falcon512,55072.27,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / falcon512,65355.13,,,,,,,,,,,,,,,,,,,,,,,,,
secp256r1 / mldsa44,91298.88,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / mldsa44,95013.24,,,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / ecdsa_p256,96905,,,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / rsa2048,102661.15,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / mldsa44,105253.99,,,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / falcon512,117645.91,,,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / mldsa44,156244.86,,,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / sphincs,373292.91,,,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / sphincs,383485.47,,,,,,,,,,,,,,,,,,,,,,,,,
