KEM,DS,Client_CPU%,Client_MEM%,Server_CPU%,Server_MEM%,,Normalized CPU,Client,Server
ffdhe2048,rsa2048,1360.65,3.24,269.01,1.35,,,85.04,16.81
ffdhe2048,ecdsa_p256,1420.29,3.11,196.13,1.36,,,88.77,12.26
ffdhe2048,ed25519,1422.14,3.2,189.24,1.33,,,88.88,11.83
secp256r1,rsa2048,1392.76,3.34,216.25,1.39,,,87.05,13.52
x25519,rsa2048,1399.13,3.28,212.47,1.39,,,87.45,13.28
mlkem512,mldsa44,1480.76,3.16,128.38,1.47,,,92.55,8.02
mlkem512,falcon512,1463.68,3.21,146.83,1.32,,,91.48,9.18
mlkem512,sphincssha2128fsimple,916.53,4.28,866.7,1.45,,,57.28,54.17
hqc128,mldsa44,1274.4,4.89,519.88,1.37,,,79.65,32.49
hqc128,falcon512,1211.65,4.55,501.68,1.56,,,75.73,31.36
ffdhe2048,mldsa44,1531.35,3.06,215.07,1.29,,,95.71,13.44
ffdhe2048,falcon512,1505.47,3.03,232.81,1.29,,,94.09,14.55
ffdhe2048,sphincssha2128fsimple,901.49,5.13,891.86,1.52,,,56.34,55.74
secp256r1,mldsa44,1467.06,3.09,140.05,1.31,,,91.69,8.75
x25519,falcon512,1436.96,2.97,149.25,1.38,,,89.81,9.33
mlkem512,rsa2048,1400.39,3.06,196.41,1.29,,,87.52,12.28
mlkem512,ecdsa_p256,1473.56,3.01,113.34,1.4,,,92.10,7.08
mlkem512,ed25519,1504.26,3.47,112.84,1.39,,,94.02,7.05
hqc128,rsa2048,1180.73,4.69,500.51,1.3,,,73.80,31.28
hqc128,ecdsa_p256,1173.07,4.95,484.38,1.39,,,73.32,30.27
