session,latency_ms,bandwidth_kb
1,20932.25,373192.67
2,22049.39,373264.89
3,22773.50,373311.68
4,23469.53,373315.15
5,22104.78,373282.90
6,22790.03,373294.77
7,23439.02,373323.05
8,21742.45,373312.26
9,23955.65,373274.50
10,22978.53,373268.95
11,21939.13,373285.72
12,23306.90,373261.40
13,23376.55,373231.47
14,21706.36,373283.82
15,23721.90,373264.62
16,22834.24,373251.86
17,22844.33,373314.05
18,22870.22,373285.61
19,22760.73,373283.57
20,23321.15,373324.56
21,21789.96,373240.30
22,22758.69,373329.10
23,23440.35,373323.98
24,21738.87,373334.05
25,22842.90,373305.25
26,24075.69,373292.50
27,21788.42,373290.76
28,23757.14,373327.76
29,22966.41,373285.50
30,21765.80,373256.52
31,23643.56,373255.15
32,23064.10,373265.65
33,23014.76,373278.03
34,21981.65,373224.57
35,23060.87,373309.40
36,23411.64,373315.21
37,21717.41,373294.58
38,22903.09,373279.81
39,24051.49,373249.05
40,21702.85,373313.17
41,23550.52,373306.09
42,22849.92,373287.42
43,21700.27,373332.54
44,23539.13,373291.43
45,23146.75,373350.84
46,21749.37,373304.29
47,23631.45,373336.25
48,22825.20,373317.93
49,23905.25,373322.71
50,21709.91,373235.41
51,22781.22,373277.39
52,23786.41,373331.76
53,21936.77,373269.51
54,23512.09,373288.37
55,23045.87,373325.57
56,21664.98,373348.32
57,23900.03,373278.77
58,22946.32,373258.92
59,21876.19,373269.71
60,23345.62,373295.77
61,23055.59,373317.69
62,22676.33,373282.61
63,22346.49,373267.54
64,22806.73,373377.33
65,23513.82,373242.38
66,21951.38,373260.70
67,22937.11,373335.73
68,23698.04,373224.93
69,21532.87,373286.14
70,23720.66,373249.27
71,23069.91,373247.38
72,21557.93,373326.16
73,23908.00,373329.96
74,22780.24,373313.86
75,22150.69,373320.13
76,23139.31,373265.30
77,23841.15,373342.68
78,24477.80,373251.42
79,21720.41,373315.25
80,22848.72,373360.15
81,23464.59,373330.12
82,21734.29,373327.37
83,23983.39,373329.64
84,22746.87,373287.25
85,21691.94,373314.43
86,23479.60,373276.17
87,22851.41,373348.46
88,22950.02,373289.24
89,22826.39,373307.18
90,22972.20,373335.27
91,22591.23,373253.03
92,22868.99,373301.49
93,22854.09,373320.78
94,22637.36,373293.87
95,22680.93,373276.16
96,23385.65,373289.11
97,22999.98,373222.39
98,21644.60,373267.19
99,23315.18,373278.86
100,22930.03,373299.67
