session,latency_ms,bandwidth_kb
1,20003.65,96681.50
2,21285.84,96731.90
3,21869.60,96789.44
4,22442.76,96837.80
5,23093.09,96829.51
6,22883.05,96793.98
7,23047.71,96862.13
8,23102.16,96825.00
9,23734.40,96863.93
10,23240.46,96802.18
11,23208.05,96895.66
12,23390.04,96852.09
13,23399.87,96856.99
14,23254.74,96856.94
15,23325.10,96905.95
16,23221.28,96851.87
17,23765.87,96829.99
18,23424.43,96920.44
19,23729.61,96838.26
20,23478.61,96899.01
21,23459.03,96874.35
22,23892.74,96914.98
23,23448.60,96880.07
24,23936.79,96907.39
25,23814.07,96813.84
26,23562.73,96837.97
27,23495.05,96862.99
28,23637.23,96880.04
29,23565.63,96886.70
30,24256.55,96889.54
31,24002.42,96933.90
32,24525.92,96904.44
33,24152.69,96869.58
34,24036.23,96916.27
35,24643.97,96985.38
36,24133.33,96945.24
37,24202.50,96954.37
38,24087.97,96937.17
39,23991.25,96878.22
40,24096.08,96957.12
41,24055.19,96923.73
42,24568.69,96912.00
43,25726.24,97018.23
44,26938.79,97060.99
45,24774.85,96909.88
46,24001.42,96900.59
47,24589.33,96949.00
48,24089.67,96959.73
49,24459.71,96957.96
50,24070.79,96899.02
51,23992.20,96905.49
52,24114.78,96919.79
53,24133.96,96942.99
54,24568.22,96967.47
55,24106.95,96856.98
56,23976.31,96937.33
57,24569.53,97015.44
58,24127.12,96951.36
59,24563.05,96929.58
60,24138.66,96922.87
61,24208.82,96914.57
62,24163.29,96897.98
63,24090.43,96986.38
64,24238.07,96909.56
65,24051.47,96910.21
66,24297.31,96881.24
67,24140.71,96990.93
68,24043.88,96905.50
69,24514.71,96909.59
70,24036.26,96944.73
71,24063.03,96974.30
72,24676.08,96893.79
73,24085.83,96905.80
74,24462.07,96897.53
75,24083.75,96892.97
76,24107.20,96922.08
77,24121.26,96931.63
78,24490.89,96946.02
79,24204.31,96975.37
80,24447.64,96960.60
81,24150.91,96924.51
82,24488.38,96850.25
83,24152.54,96971.76
84,24566.94,96937.59
85,24069.96,96902.43
86,24145.59,96932.53
87,24154.46,96889.40
88,24109.24,96935.28
89,24157.25,96956.61
90,24025.44,96880.39
91,24663.83,96884.95
92,24104.10,96907.44
93,24037.93,96915.97
94,24628.68,96929.01
95,24247.26,96943.28
96,24640.90,96903.40
97,24117.88,96899.06
98,24311.14,96916.17
99,24664.41,96897.95
100,24108.00,96977.17
