session,latency_ms,bandwidth_kb
1,22112.77,102428.71
2,22719.66,102499.97
3,22745.29,102541.76
4,23029.76,102558.04
5,23633.23,102591.82
6,23484.03,102608.47
7,23714.90,102656.55
8,23642.86,102600.28
9,23689.39,102641.27
10,24238.92,102596.56
11,23850.78,102633.91
12,23939.88,102536.34
13,24329.89,102599.09
14,24078.08,102701.48
15,24115.63,102615.58
16,24079.54,102688.25
17,24535.38,102566.70
18,23981.93,102688.53
19,24118.54,102639.51
20,24085.61,102568.49
21,23999.79,102676.82
22,24167.86,102593.77
23,24334.62,102639.96
24,24320.53,102632.92
25,24635.60,102676.78
26,25001.67,102665.23
27,24997.21,102752.49
28,24826.52,102705.08
29,24734.66,102703.57
30,24944.88,102720.45
31,24736.40,102723.99
32,24811.54,102658.44
33,24794.55,102669.80
34,24722.34,102655.63
35,25029.40,102736.61
36,24726.18,102639.60
37,24861.51,102692.73
38,25111.87,102636.56
39,24944.58,102692.07
40,24862.79,102725.38
41,24756.25,102668.32
42,25263.45,102654.67
43,24743.18,102688.64
44,24795.30,102657.92
45,24848.95,102693.05
46,25149.65,102688.32
47,25052.47,102754.80
48,24720.89,102685.10
49,24863.10,102699.54
50,25161.39,102691.63
51,24889.21,102729.83
52,24951.67,102621.49
53,24755.30,102646.63
54,25050.82,102678.73
55,24766.43,102721.52
56,24868.05,102614.02
57,24796.64,102623.30
58,24721.70,102649.90
59,24911.06,102628.98
60,24831.22,102675.98
61,24842.39,102660.57
62,25211.86,102631.05
63,24884.32,102665.45
64,24846.36,102669.38
65,24723.52,102622.38
66,25317.57,102618.28
67,24732.84,102630.76
68,24801.30,102726.30
69,24751.30,102622.79
70,24710.91,102689.54
71,24876.68,102673.10
72,25135.07,102678.55
73,24892.62,102723.93
74,25156.82,102745.91
75,24982.20,102730.22
76,24880.56,102691.91
77,24791.73,102578.88
78,24969.29,102651.00
79,24784.48,102647.49
80,24839.56,102709.62
81,24860.79,102713.14
82,25183.60,102619.48
83,24936.07,102679.76
84,24759.51,102706.96
85,24850.12,102660.73
86,25188.31,102665.67
87,24910.86,102727.93
88,25132.23,102719.17
89,24917.71,102653.04
90,25481.80,102701.27
91,24867.56,102674.25
92,24901.08,102697.79
93,24941.39,102679.58
94,24793.06,102713.17
95,24942.66,102688.33
96,25142.60,102645.30
97,24842.23,102721.42
98,25125.13,102639.58
99,25031.26,102744.63
100,24824.31,102665.18
