session,latency_ms,bandwidth_kb
1,19333.68,383191.81
2,19518.92,383290.86
3,20286.94,383298.73
4,21981.19,383416.47
5,19886.15,383431.47
6,20168.64,383387.07
7,20978.75,383434.78
8,20458.15,383390.28
9,20584.53,383409.65
10,21885.52,383480.54
11,20009.25,383407.63
12,21434.78,383438.31
13,20641.34,383452.83
14,20743.75,383445.65
15,21544.36,383451.70
16,20292.12,383418.29
17,20970.75,383413.71
18,21545.71,383439.15
19,20312.26,383449.98
20,20691.20,383435.48
21,21604.94,383477.37
22,20115.04,383433.19
23,20693.86,383441.07
24,21062.47,383489.38
25,21018.49,383412.62
26,21495.00,383440.52
27,20777.25,383450.24
28,21009.21,383428.13
29,21063.27,383483.66
30,20462.68,383452.41
31,21469.65,383418.97
32,21755.12,383435.56
33,20134.16,383469.68
34,21115.80,383483.47
35,20727.43,383506.99
36,21290.57,383481.34
37,21487.18,383436.79
38,21816.83,383530.03
39,21651.38,383571.30
40,21582.13,383486.70
41,22771.87,383574.17
42,21719.53,383475.87
43,21809.07,383527.45
44,21607.72,383503.83
45,21660.85,383515.80
46,22022.71,383524.17
47,21021.06,383530.75
48,21665.04,383499.57
49,22203.74,383518.79
50,20694.99,383518.01
51,21664.95,383476.97
52,22677.87,383528.33
53,22601.14,383539.50
54,22967.42,383555.73
55,22472.06,383480.60
56,20763.35,383527.56
57,22330.03,383559.35
58,21725.45,383506.37
59,20769.61,383496.65
60,22431.52,383488.58
61,21654.70,383513.37
62,20669.75,383527.67
63,22506.77,383536.39
64,20697.23,383565.61
65,21571.51,383454.40
66,22744.03,383511.27
67,20664.05,383535.64
68,22296.68,383543.74
69,21921.80,383503.38
70,20619.91,383512.99
71,22709.31,383526.36
72,21978.70,383479.60
73,20755.02,383465.39
74,22447.28,383545.17
75,21753.60,383484.68
76,20361.73,383521.72
77,22441.48,383481.05
78,21671.24,383478.59
79,20615.15,383494.68
80,22761.89,383493.77
81,21605.75,383473.85
82,21527.83,383501.76
83,22075.31,383559.67
84,21594.66,383497.73
85,21637.25,383524.51
86,21913.68,383517.65
87,20595.51,383564.30
88,22746.42,383513.45
89,21631.74,383545.37
90,20562.48,383550.68
91,22527.80,383483.90
92,21728.14,383526.64
93,21564.43,383526.27
94,21736.01,383537.11
95,21639.97,383593.36
96,21581.91,383541.16
97,21658.83,383526.59
98,21545.55,383596.14
99,21765.94,383511.63
100,21628.78,383517.72
