session,latency_ms,bandwidth_kb
1,10730.89,37721.46
2,10893.11,37730.09
3,11638.10,37718.95
4,13241.36,37741.46
5,11907.43,37680.82
6,11582.11,37713.35
7,11747.36,37702.03
8,11263.74,37708.58
9,11115.27,37723.46
10,11084.76,37711.35
11,11138.19,37717.57
12,11171.95,37697.36
13,11061.80,37724.36
14,12069.28,37720.59
15,11420.66,37715.60
16,11333.84,37709.85
17,11164.93,37706.36
18,11132.88,37708.11
19,11794.62,37721.02
20,12143.30,37713.04
21,11722.55,37700.60
22,11346.91,37694.31
23,11356.86,37683.96
24,11674.64,37690.77
25,12560.79,37722.33
26,11326.93,37689.74
27,11272.85,37712.33
28,11148.31,37716.23
29,11188.85,37712.54
30,12254.40,37708.89
31,11147.56,37720.25
32,11237.78,37722.49
33,11689.95,37723.40
34,11191.87,37708.59
35,12215.44,37712.00
36,11685.46,37705.04
37,11312.24,37706.51
38,11687.01,37706.68
39,11162.64,37700.53
40,12599.36,37703.34
41,11403.91,37707.21
42,11270.61,37710.02
43,11141.97,37718.41
44,11154.65,37703.47
45,12318.00,37729.65
46,11624.33,37726.74
47,11277.55,37710.95
48,11236.14,37703.09
49,11152.51,37713.40
50,11464.13,37720.51
51,11849.69,37731.09
52,11131.79,37718.80
53,11202.54,37716.52
54,11148.97,37716.27
55,12223.44,37722.38
56,11118.96,37712.99
57,11143.99,37706.93
58,11206.54,37710.50
59,12258.49,37712.66
60,11918.88,37690.16
61,11415.11,37672.14
62,11308.09,37674.98
63,11247.84,37697.84
64,11186.68,37706.82
65,11160.62,37697.66
66,11975.04,37721.42
67,11785.07,37715.03
68,11234.76,37694.44
69,11231.36,37710.22
70,11181.41,37703.96
71,12163.58,37703.49
72,12084.29,37735.83
73,11335.42,37715.69
74,11295.55,37697.49
75,11232.23,37686.59
76,11156.47,37708.28
77,12123.13,37722.39
78,11130.23,37706.13
79,11908.35,37720.24
80,11581.61,37701.36
81,11197.31,37687.53
82,12493.69,37719.15
83,11419.09,37701.45
84,11184.21,37682.92
85,11397.10,37704.91
86,11193.17,37692.18
87,11844.76,37707.52
88,11666.39,37721.62
89,11066.47,37712.29
90,11455.67,37712.74
91,11023.19,37699.37
92,11621.98,37713.15
93,11574.35,37697.64
94,10953.16,37712.52
95,11082.98,37707.33
96,10990.73,37707.29
97,11045.96,37700.66
98,11942.84,37729.53
99,11071.15,37721.09
100,11085.93,37717.48
