KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),,,,,,,,,,,,,,,,,,,,,
ffdhe2048,rsa2048,1170.67,4135.29,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,ecdsa_p256,1128.47,3564.65,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,ed25519,1138.1,3495.04,,,,,,,,,,,,,,,,,,,,,
secp256r1,rsa2048,1134.85,3766.4,,,,,,,,,,,,,,,,,,,,,
x25519,rsa2048,1038.85,3700.32,,,,,,,,,,,,,,,,,,,,,
mlkem512,mldsa44,1041.92,10525.63,,,,,,,,,,,,,,,,,,,,,
mlkem512,falcon512,1015.81,6531.43,,,,,,,,,,,,,,,,,,,,,
mlkem512,sphincssha2128fsimple,2031.86,38334.88,,,,,,,,,,,,,,,,,,,,,
hqc128,mldsa44,2273.2,15597.85,,,,,,,,,,,,,,,,,,,,,
hqc128,falcon512,2286.71,11736.69,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,mldsa44,1129.35,9498.89,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,falcon512,1084.89,5504.62,,,,,,,,,,,,,,,,,,,,,
ffdhe2048,sphincssha2128fsimple,2099.34,37310.66,,,,,,,,,,,,,,,,,,,,,
secp256r1,mldsa44,1008.65,9129.04,,,,,,,,,,,,,,,,,,,,,
x25519,falcon512,989.28,5069.88,,,,,,,,,,,,,,,,,,,,,
mlkem512,rsa2048,1075.1,5161.51,,,,,,,,,,,,,,,,,,,,,
mlkem512,ecdsa_p256,1050.44,4587.73,,,,,,,,,,,,,,,,,,,,,
mlkem512,ed25519,1056.15,4518.04,,,,,,,,,,,,,,,,,,,,,
hqc128,rsa2048,2378.82,10241.93,,,,,,,,,,,,,,,,,,,,,
hqc128,ecdsa_p256,2319.31,9663.87,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
KEM / DS,Avg Latency (ms),,,,,,,,,,,,,,,,,,,,,,,
x25519 / falcon512,989.28,,,,,,,,,,,,,,,,,,,,,,,
secp256r1 / mldsa44,1008.65,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / falcon512,1015.81,,,,,,,,,,,,,,,,,,,,,,,
x25519 / rsa2048,1038.85,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / mldsa44,1041.92,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / ecdsa_p256,1050.44,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / ed25519,1056.15,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / rsa2048,1075.1,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / falcon512,1084.89,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / ecdsa_p256,1128.47,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / mldsa44,1129.35,,,,,,,,,,,,,,,,,,,,,,,
secp256r1 / rsa2048,1134.85,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / ed25519,1138.1,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / rsa2048,1170.67,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / sphincs,2031.86,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / sphincs,2099.34,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / mldsa44,2273.2,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / falcon512,2286.71,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / ecdsa_p256,2319.31,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / rsa2048,2378.82,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
KEM / DS,Avg Bandwidth (KB),,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / ed25519,3495.04,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / ecdsa_p256,3564.65,,,,,,,,,,,,,,,,,,,,,,,
x25519 / rsa2048,3700.32,,,,,,,,,,,,,,,,,,,,,,,
secp256r1 / rsa2048,3766.4,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / rsa2048,4135.29,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / ed25519,4518.04,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / ecdsa_p256,4587.73,,,,,,,,,,,,,,,,,,,,,,,
x25519 / falcon512,5069.88,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / rsa2048,5161.51,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / falcon512,5504.62,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / falcon512,6531.43,,,,,,,,,,,,,,,,,,,,,,,
secp256r1 / mldsa44,9129.04,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / mldsa44,9498.89,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / ecdsa_p256,9663.87,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / rsa2048,10241.93,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / mldsa44,10525.63,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / falcon512,11736.69,,,,,,,,,,,,,,,,,,,,,,,
hqc128 / mldsa44,15597.85,,,,,,,,,,,,,,,,,,,,,,,
ffdhe2048 / sphincs,37310.66,,,,,,,,,,,,,,,,,,,,,,,
mlkem512 / sphincs,38334.88,,,,,,,,,,,,,,,,,,,,,,,
