,,RAW,,,,,Normalized,
KEM,DS,Client_CPU%,Client_MEM%,Server_CPU%,Server_MEM%,,Client_CPU%,Server_CPU%
ffdhe2048,rsa2048,1308.13,3.17,261.82,0.7,,81.76,16.36
ffdhe2048,ecdsa_p256,1390.55,3.19,186.52,0.77,,86.91,11.66
ffdhe2048,ed25519,1383.53,3.17,182.67,0.78,,86.47,11.42
secp256r1,rsa2048,1362.3,3.03,204.79,1.04,,85.14,12.80
x25519,rsa2048,1348.2,2.93,194.5,0.96,,84.26,12.16
mlkem512,mldsa44,1422.33,3.14,115.63,1.14,,88.90,7.23
mlkem512,falcon512,1397.66,1.93,133.68,0.72,,87.35,8.36
mlkem512,sphincssha2128fsimple,828.16,3.33,794.53,0.89,,51.76,49.66
hqc128,mldsa44,1151.81,3.02,462.61,0.88,,71.99,28.91
hqc128,falcon512,1148.08,3.28,470.81,0.94,,71.76,29.43
ffdhe2048,mldsa44,1381.63,2.11,190.07,0.89,,86.35,11.88
ffdhe2048,falcon512,1352.48,1.9,204.83,0.94,,84.53,12.80
ffdhe2048,sphincssha2128fsimple,812.77,3.35,812.09,1.12,,50.80,50.76
secp256r1,mldsa44,1397.4,1.82,128.82,0.68,,87.34,8.05
x25519,falcon512,1394.65,1.91,139.5,0.67,,87.17,8.72
mlkem512,rsa2048,1360.88,1.97,186.42,0.98,,85.06,11.65
mlkem512,ecdsa_p256,1430.4,1.87,106.69,1.05,,89.40,6.67
mlkem512,ed25519,1438.48,2,107.17,0.84,,89.91,6.70
hqc128,rsa2048,1121.71,3.08,494.58,0.94,,70.11,30.91
hqc128,ecdsa_p256,1159.92,3.02,461.06,1.27,,72.50,28.82
