session,latency_ms,bandwidth_kb
1,1010.42,3557.63
2,982.38,3562.34
3,991.44,3563.73
4,1022.45,3560.11
5,1026.50,3562.66
6,1013.59,3568.19
7,1025.05,3561.14
8,1029.65,3562.94
9,1046.53,3557.86
10,1044.13,3560.41
11,1038.99,3565.91
12,1037.74,3562.84
13,1043.97,3563.21
14,1053.93,3561.77
15,1085.62,3566.88
16,1075.52,3562.98
17,1051.11,3565.39
18,1061.59,3560.08
19,1055.09,3566.01
20,1063.77,3562.31
21,1062.77,3562.46
22,1064.68,3561.78
23,1059.51,3564.36
24,1067.71,3564.47
25,1060.76,3565.85
26,1067.07,3563.29
27,1066.47,3563.08
28,1074.10,3564.15
29,1121.23,3560.11
30,1146.08,3566.31
31,1156.99,3565.32
32,1151.74,3564.58
33,1155.34,3563.03
34,1144.89,3567.54
35,1168.41,3562.24
36,1154.41,3564.43
37,1144.81,3568.11
38,1163.77,3563.96
39,1157.61,3567.07
40,1151.88,3565.25
41,1153.36,3561.49
42,1163.06,3564.83
43,1146.26,3567.88
44,1157.38,3561.31
45,1158.72,3563.69
46,1142.52,3566.65
47,1144.19,3564.94
48,1163.94,3564.31
49,1163.04,3566.08
50,1166.14,3563.33
51,1148.99,3564.87
52,1180.66,3564.64
53,1157.10,3565.53
54,1149.51,3564.02
55,1195.38,3566.68
56,1167.64,3565.33
57,1158.86,3562.53
58,1154.70,3563.67
59,1174.61,3565.28
60,1155.35,3564.38
61,1142.88,3568.88
62,1154.84,3567.43
63,1166.70,3569.12
64,1159.51,3566.12
65,1162.37,3561.73
66,1165.85,3564.62
67,1151.52,3568.42
68,1155.08,3564.92
69,1170.81,3566.43
70,1152.03,3566.10
71,1151.47,3567.71
72,1140.30,3569.26
73,1169.92,3562.46
74,1165.77,3560.72
75,1151.41,3564.74
76,1162.85,3571.14
77,1175.15,3562.73
78,1163.81,3568.80
79,1158.49,3563.66
80,1164.34,3568.09
81,1157.76,3565.63
82,1164.88,3562.27
83,1175.31,3563.88
84,1163.92,3567.22
85,1166.59,3565.28
86,1166.58,3564.91
87,1166.00,3563.44
88,1158.17,3563.45
89,1165.35,3562.06
90,1173.08,3569.01
91,1166.07,3564.91
92,1164.59,3564.55
93,1172.94,3565.32
94,1169.16,3565.82
95,1169.12,3565.61
96,1164.06,3564.37
97,1189.10,3564.88
98,1168.33,3567.97
99,1157.19,3567.79
100,1182.62,3570.17
