session,latency_ms,bandwidth_kb
1,963.72,3486.48
2,988.57,3492.49
3,1007.59,3495.79
4,1020.50,3495.13
5,1064.76,3495.73
6,1045.04,3494.87
7,1048.35,3491.20
8,1044.55,3491.30
9,1040.01,3493.95
10,1063.11,3488.87
11,1054.24,3492.56
12,1050.18,3495.10
13,1049.07,3494.54
14,1060.71,3493.95
15,1054.08,3496.06
16,1077.16,3490.78
17,1048.79,3498.00
18,1073.75,3490.50
19,1061.78,3495.23
20,1081.20,3491.72
21,1064.68,3497.17
22,1084.52,3491.35
23,1069.99,3495.39
24,1079.45,3493.89
25,1074.59,3496.48
26,1094.89,3490.19
27,1077.31,3495.58
28,1159.86,3495.27
29,1170.89,3495.88
30,1151.11,3494.54
31,1153.09,3494.26
32,1165.56,3494.71
33,1147.10,3500.99
34,1155.70,3495.37
35,1160.26,3493.18
36,1171.55,3493.00
37,1154.39,3495.64
38,1169.04,3492.60
39,1168.50,3496.32
40,1153.34,3498.11
41,1151.35,3495.09
42,1157.99,3496.56
43,1158.98,3500.28
44,1161.38,3498.45
45,1155.04,3494.69
46,1162.73,3496.19
47,1162.27,3495.52
48,1154.19,3495.15
49,1159.23,3493.38
50,1161.94,3494.96
51,1167.96,3496.91
52,1178.94,3499.12
53,1221.89,3493.65
54,1163.67,3494.35
55,1176.53,3494.65
56,1177.92,3495.89
57,1149.58,3499.15
58,1188.23,3496.40
59,1196.41,3500.53
60,1171.25,3497.56
61,1151.60,3497.56
62,1160.69,3495.58
63,1171.08,3496.43
64,1176.33,3491.97
65,1175.13,3494.20
66,1166.74,3493.63
67,1164.49,3495.72
68,1152.15,3499.62
69,1188.34,3490.12
70,1192.09,3495.54
71,1174.28,3494.46
72,1163.50,3495.79
73,1217.46,3494.29
74,1167.73,3494.99
75,1166.60,3495.05
76,1168.35,3495.66
77,1182.97,3495.81
78,1166.04,3495.26
79,1180.87,3496.14
80,1180.09,3495.11
81,1177.05,3493.66
82,1171.80,3491.71
83,1169.55,3492.38
84,1185.73,3496.85
85,1162.44,3492.97
86,1169.74,3496.13
87,1185.61,3497.08
88,1174.75,3495.06
89,1166.81,3495.84
90,1181.22,3499.73
91,1176.30,3493.20
92,1161.34,3496.32
93,1172.57,3495.78
94,1175.00,3497.02
95,1171.64,3492.27
96,1182.28,3492.11
97,1165.62,3499.51
98,1166.33,3498.46
99,1168.47,3494.15
100,1159.19,3498.31
