session,latency_ms,bandwidth_kb
1,1020.62,5497.38
2,981.72,5504.39
3,1034.73,5504.27
4,996.84,5497.28
5,989.51,5504.30
6,992.30,5500.05
7,1003.15,5502.39
8,992.90,5505.64
9,1021.54,5501.85
10,1020.27,5497.04
11,1018.60,5501.53
12,1018.42,5502.49
13,1033.95,5498.66
14,1011.23,5503.60
15,1023.19,5502.40
16,1064.65,5504.83
17,1035.11,5504.37
18,1026.16,5506.49
19,1035.32,5504.75
20,1019.45,5506.94
21,1050.59,5499.51
22,1028.17,5504.83
23,1034.68,5503.91
24,1034.81,5507.90
25,1047.16,5503.50
26,1037.20,5506.67
27,1050.22,5502.96
28,1044.10,5504.83
29,1062.66,5500.15
30,1037.52,5507.33
31,1043.16,5507.17
32,1061.65,5501.55
33,1067.49,5504.68
34,1058.52,5503.29
35,1074.67,5502.07
36,1062.07,5503.88
37,1072.08,5504.47
38,1068.31,5504.42
39,1069.57,5504.16
40,1078.73,5505.75
41,1070.69,5504.04
42,1072.53,5504.20
43,1079.22,5502.83
44,1071.94,5504.98
45,1073.58,5504.17
46,1079.43,5504.44
47,1081.16,5506.27
48,1080.92,5505.24
49,1079.96,5504.75
50,1082.47,5508.67
51,1087.24,5504.61
52,1087.02,5505.83
53,1092.42,5506.01
54,1090.87,5503.43
55,1091.54,5504.06
56,1086.50,5506.05
57,1092.35,5509.09
58,1094.58,5507.00
59,1101.23,5504.47
60,1098.10,5504.21
61,1093.79,5505.39
62,1097.80,5508.04
63,1090.43,5508.13
64,1111.67,5502.88
65,1101.46,5504.84
66,1104.05,5507.98
67,1120.13,5503.83
68,1235.03,5508.35
69,1285.12,5509.66
70,1162.78,5506.61
71,1362.41,5505.95
72,1130.27,5505.33
73,1131.90,5503.94
74,1113.58,5507.75
75,1113.69,5506.15
76,1117.27,5503.64
77,1109.22,5507.65
78,1114.06,5508.20
79,1126.54,5502.80
80,1120.65,5505.81
81,1113.19,5507.34
82,1117.28,5506.78
83,1125.47,5505.32
84,1122.52,5505.13
85,1134.24,5502.42
86,1124.14,5505.80
87,1120.69,5506.93
88,1128.09,5502.02
89,1120.28,5508.25
90,1131.88,5503.95
91,1131.94,5501.75
92,1127.95,5505.98
93,1131.67,5502.65
94,1132.58,5507.19
95,1124.88,5505.55
96,1126.33,5505.74
97,1133.87,5500.97
98,1131.79,5502.46
99,1124.61,5506.13
100,1126.58,5508.77
