session,latency_ms,bandwidth_kb
1,989.77,9490.85
2,1005.42,9498.50
3,1046.12,9497.17
4,1063.14,9496.80
5,1059.86,9499.05
6,1054.78,9503.82
7,1091.21,9491.47
8,1070.59,9500.40
9,1072.61,9499.85
10,1080.39,9501.60
11,1085.49,9498.41
12,1082.81,9500.38
13,1093.02,9496.33
14,1088.82,9500.97
15,1089.21,9498.25
16,1089.43,9499.74
17,1111.17,9499.15
18,1211.24,9499.35
19,1212.02,9498.96
20,1174.99,9504.86
21,1240.46,9501.16
22,1109.43,9495.99
23,1210.55,9499.25
24,1130.45,9499.70
25,1106.32,9505.10
26,1160.50,9502.88
27,1116.51,9499.59
28,1122.12,9497.73
29,1135.04,9499.31
30,1236.44,9499.39
31,1196.57,9499.20
32,1120.49,9499.62
33,1126.63,9497.87
34,1120.12,9497.56
35,1124.30,9501.84
36,1115.30,9498.31
37,1128.54,9496.01
38,1144.86,9501.16
39,1145.84,9499.58
40,1130.91,9496.96
41,1130.07,9494.19
42,1132.57,9496.46
43,1108.55,9499.65
44,1139.40,9499.07
45,1124.82,9496.58
46,1115.16,9498.70
47,1136.00,9494.14
48,1127.43,9497.52
49,1141.76,9494.82
50,1128.36,9495.38
51,1138.47,9495.70
52,1122.26,9500.06
53,1131.92,9496.99
54,1132.66,9496.67
55,1138.30,9496.60
56,1140.62,9496.78
57,1137.41,9495.83
58,1138.58,9499.43
59,1126.92,9500.43
60,1140.92,9495.71
61,1144.55,9496.18
62,1129.58,9496.94
63,1129.79,9498.71
64,1134.13,9498.62
65,1140.90,9496.93
66,1144.89,9493.70
67,1128.19,9500.02
68,1131.18,9500.77
69,1119.51,9504.12
70,1153.94,9500.24
71,1127.17,9498.99
72,1157.74,9497.42
73,1158.54,9502.13
74,1128.07,9501.48
75,1139.38,9498.07
76,1122.07,9503.59
77,1148.01,9498.58
78,1143.15,9497.02
79,1176.94,9499.52
80,1127.23,9504.30
81,1124.49,9503.74
82,1146.54,9501.44
83,1132.83,9498.76
84,1172.58,9499.60
85,1123.05,9502.12
86,1144.84,9502.46
87,1146.15,9502.58
88,1140.29,9498.08
89,1143.36,9498.01
90,1134.84,9503.64
91,1134.76,9500.78
92,1137.31,9500.51
93,1145.51,9496.88
94,1147.89,9495.94
95,1140.79,9501.96
96,1143.11,9496.60
97,1142.80,9498.03
98,1145.69,9497.91
99,1137.29,9499.37
100,1140.28,9498.29
