session,latency_ms,bandwidth_kb
1,1008.44,4129.91
2,1006.46,4133.36
3,1015.69,4135.35
4,1049.61,4130.40
5,1047.15,4134.85
6,1057.98,4131.13
7,1053.93,4133.70
8,1068.99,4132.49
9,1077.31,4130.94
10,1088.37,4128.95
11,1069.40,4135.50
12,1078.37,4133.31
13,1072.25,4135.56
14,1085.09,4134.16
15,1076.46,4133.07
16,1086.10,4134.07
17,1094.66,4135.00
18,1085.39,4136.44
19,1085.83,4135.77
20,1095.06,4135.95
21,1091.78,4136.32
22,1092.93,4135.35
23,1097.90,4135.23
24,1095.76,4137.56
25,1103.56,4135.74
26,1101.26,4133.67
27,1102.81,4136.13
28,1109.58,4137.75
29,1117.30,4134.01
30,1121.59,4135.08
31,1164.76,4137.17
32,1188.70,4136.63
33,1183.99,4135.90
34,1195.07,4132.97
35,1192.31,4141.94
36,1180.66,4137.34
37,1205.24,4138.15
38,1221.31,4134.04
39,1182.05,4133.87
40,1194.02,4132.71
41,1201.73,4138.19
42,1195.06,4132.93
43,1217.32,4133.03
44,1199.13,4135.05
45,1193.09,4135.06
46,1192.25,4135.14
47,1202.55,4134.74
48,1188.00,4136.29
49,1179.69,4136.49
50,1189.45,4137.99
51,1208.56,4135.55
52,1186.77,4135.26
53,1197.00,4132.15
54,1203.60,4136.95
55,1199.44,4138.75
56,1190.94,4136.77
57,1222.00,4131.25
58,1202.17,4132.93
59,1187.68,4135.76
60,1199.43,4134.22
61,1204.49,4134.66
62,1196.42,4135.38
63,1193.36,4135.36
64,1212.96,4134.24
65,1200.89,4136.90
66,1203.11,4137.56
67,1199.84,4135.00
68,1204.77,4134.89
69,1191.13,4135.76
70,1230.83,4135.14
71,1213.88,4138.13
72,1347.94,4138.25
73,1311.29,4137.14
74,1243.62,4139.19
75,1306.71,4137.88
76,1203.04,4136.37
77,1223.75,4136.30
78,1205.31,4135.31
79,1200.82,4137.96
80,1216.28,4132.94
81,1210.76,4134.77
82,1195.90,4136.68
83,1208.94,4135.19
84,1234.32,4133.86
85,1208.97,4136.75
86,1213.05,4132.56
87,1266.60,4133.57
88,1210.87,4136.59
89,1207.11,4134.04
90,1233.90,4135.19
91,1217.70,4133.38
92,1205.09,4137.16
93,1214.01,4135.91
94,1224.19,4135.90
95,1209.95,4138.43
96,1213.55,4137.41
97,1236.95,4132.84
98,1212.63,4138.08
99,1209.65,4138.37
100,1221.56,4136.36
