session,latency_ms,bandwidth_kb
1,1971.69,11731.61
2,1998.44,11727.00
3,2006.97,11744.86
4,2067.78,11736.19
5,2043.26,11728.93
6,2053.82,11718.64
7,2174.18,11731.70
8,2081.27,11728.85
9,2088.08,11722.11
10,2128.52,11720.75
11,2110.32,11707.13
12,2116.62,11733.38
13,2134.09,11736.97
14,2141.57,11727.93
15,2137.57,11739.11
16,2150.70,11721.66
17,2150.64,11724.94
18,2169.46,11740.17
19,2172.17,11741.87
20,2179.50,11741.46
21,2192.84,11716.39
22,2281.46,11722.12
23,2207.17,11744.21
24,2201.44,11739.07
25,2209.94,11725.06
26,2223.12,11727.91
27,2217.19,11735.45
28,2229.93,11749.71
29,2232.96,11736.32
30,2250.28,11719.14
31,2305.04,11744.26
32,2264.01,11726.36
33,2248.95,11740.12
34,2292.25,11734.29
35,2253.57,11732.04
36,2258.02,11744.97
37,2265.10,11744.90
38,2258.85,11726.47
39,2266.45,11734.72
40,2268.26,11730.26
41,2274.50,11743.15
42,2271.37,11742.16
43,2274.11,11728.53
44,2269.37,11736.76
45,2272.32,11738.06
46,2330.77,11728.94
47,2276.28,11728.02
48,2310.05,11723.40
49,2408.72,11749.80
50,2884.28,11745.83
51,2626.98,11734.73
52,2534.49,11746.09
53,2326.68,11736.75
54,2384.21,11752.98
55,2301.58,11738.61
56,2300.16,11740.50
57,2351.35,11746.98
58,2307.63,11724.12
59,2313.89,11742.30
60,2307.48,11743.50
61,2302.82,11730.78
62,2353.28,11750.33
63,2306.42,11747.54
64,2306.93,11746.54
65,2314.35,11732.29
66,2305.20,11738.32
67,2310.12,11755.84
68,2322.33,11726.35
69,2307.97,11725.89
70,2312.35,11732.96
71,2309.13,11753.68
72,2311.85,11733.52
73,2352.40,11744.94
74,2324.40,11732.88
75,2347.62,11715.12
76,2349.37,11741.90
77,2332.23,11724.88
78,2473.29,11751.54
79,2336.95,11741.69
80,2357.76,11735.68
81,2379.11,11733.72
82,2370.61,11746.53
83,2373.17,11749.22
84,2327.12,11734.99
85,2495.81,11736.11
86,2813.18,11750.23
87,2509.09,11745.32
88,2346.91,11738.55
89,2327.63,11752.24
90,2335.72,11750.03
91,2386.49,11736.55
92,2378.36,11756.02
93,2352.01,11724.01
94,2329.49,11754.81
95,2322.59,11751.44
96,2326.28,11747.95
97,2320.39,11746.05
98,2353.56,11738.39
99,2324.01,11732.26
100,2333.29,11731.38
