session,latency_ms,bandwidth_kb
1,961.95,4480.36
2,975.82,4485.38
3,981.30,4529.63
4,1006.51,4587.40
5,993.91,4592.37
6,990.48,4595.05
7,1006.63,4591.67
8,1027.36,4590.96
9,998.95,4594.77
10,1036.00,4587.80
11,1024.81,4587.79
12,1021.23,4592.87
13,1018.96,4590.32
14,1029.44,4588.81
15,1036.16,4584.50
16,1029.98,4589.25
17,1020.26,4592.40
18,1028.36,4588.07
19,1014.06,4594.68
20,1049.37,4590.84
21,1036.56,4589.67
22,1042.53,4586.95
23,1029.48,4590.41
24,1043.52,4588.73
25,1036.11,4587.09
26,1051.53,4585.13
27,1050.04,4588.97
28,1028.61,4594.08
29,1039.58,4589.50
30,1031.73,4590.34
31,1046.84,4587.35
32,1040.10,4589.51
33,1029.67,4591.60
34,1073.91,4590.76
35,1238.10,4596.79
36,1179.22,4598.64
37,1066.17,4590.14
38,1126.63,4590.44
39,1056.84,4589.26
40,1034.03,4591.67
41,1123.01,4592.90
42,1091.07,4593.67
43,1110.82,4590.39
44,1103.82,4595.12
45,1105.49,4595.57
46,1082.46,4586.34
47,1030.13,4591.38
48,1048.71,4589.61
49,1042.95,4592.51
50,1043.35,4592.23
51,1041.27,4591.60
52,1102.28,4592.76
53,1145.97,4591.33
54,1050.82,4589.77
55,1048.02,4589.68
56,1062.59,4586.14
57,1045.10,4588.10
58,1080.16,4590.94
59,1067.78,4590.94
60,1042.48,4591.85
61,1043.10,4590.14
62,1052.15,4594.38
63,1067.93,4585.03
64,1043.48,4592.06
65,1055.82,4588.12
66,1042.90,4593.19
67,1052.63,4590.95
68,1050.86,4589.08
69,1047.32,4590.83
70,1041.20,4589.27
71,1052.99,4589.78
72,1059.52,4585.02
73,1049.15,4590.47
74,1056.36,4586.25
75,1056.27,4588.39
76,1056.92,4587.72
77,1068.63,4586.71
78,1044.20,4590.13
79,1062.93,4586.32
80,1046.95,4591.17
81,1047.91,4592.29
82,1047.94,4590.67
83,1052.98,4587.52
84,1068.50,4586.50
85,1025.80,4599.85
86,1051.80,4591.24
87,1043.44,4592.97
88,1040.24,4594.23
89,1043.59,4591.14
90,1048.78,4593.65
91,1036.52,4594.57
92,1070.09,4587.74
93,1048.54,4590.21
94,1047.74,4590.26
95,1054.52,4590.34
96,1051.06,4589.75
97,1048.93,4591.30
98,1056.99,4590.38
99,1063.31,4586.54
100,1043.17,4592.53
