session,latency_ms,bandwidth_kb
1,948.44,4415.35
2,1067.66,4419.40
3,1094.95,4476.49
4,1022.91,4519.09
5,1019.67,4517.29
6,1016.71,4520.72
7,1011.91,4516.93
8,1019.74,4516.63
9,1014.17,4519.62
10,1016.44,4524.31
11,1028.82,4516.97
12,1011.72,4524.12
13,1028.66,4519.00
14,1022.49,4524.53
15,1018.94,4521.74
16,1023.90,4523.61
17,1019.41,4521.45
18,1161.76,4524.37
19,1047.60,4524.54
20,1020.39,4522.57
21,1077.07,4523.09
22,1050.09,4520.34
23,1042.86,4514.05
24,1033.45,4523.29
25,1079.64,4522.47
26,1073.53,4526.21
27,1068.30,4524.12
28,1030.15,4522.25
29,1048.10,4518.00
30,1026.36,4521.55
31,1027.56,4525.18
32,1042.44,4518.08
33,1041.14,4518.60
34,1041.64,4523.40
35,1034.41,4521.71
36,1033.13,4519.29
37,1043.01,4519.53
38,1036.46,4519.30
39,1037.47,4520.45
40,1078.47,4525.94
41,1045.06,4519.95
42,1044.50,4519.97
43,1051.13,4518.45
44,1032.77,4522.20
45,1033.76,4523.05
46,1034.73,4523.00
47,1034.54,4523.94
48,1045.75,4516.06
49,1035.72,4521.47
50,1037.16,4520.77
51,1038.31,4523.10
52,1045.17,4522.49
53,1098.70,4524.84
54,1045.18,4520.64
55,1037.78,4524.11
56,1058.12,4518.21
57,1046.74,4519.21
58,1051.59,4517.35
59,1053.48,4515.65
60,1046.36,4520.55
61,1034.49,4521.92
62,1040.38,4520.69
63,1038.75,4521.78
64,1039.45,4519.26
65,1040.93,4521.06
66,1034.48,4523.85
67,1030.43,4526.59
68,1059.54,4519.78
69,1147.22,4524.08
70,1270.77,4527.55
71,1120.90,4524.52
72,1125.36,4525.83
73,1050.85,4519.33
74,1618.82,4538.27
75,1015.14,4428.87
76,1034.76,4520.63
77,1067.54,4519.19
78,1072.84,4524.77
79,1049.60,4522.47
80,1048.24,4521.45
81,1150.43,4519.29
82,1052.00,4519.42
83,1047.73,4521.32
84,1046.78,4521.03
85,1038.14,4522.30
86,1046.76,4520.77
87,1041.42,4522.77
88,1056.83,4518.36
89,1044.94,4522.42
90,1038.13,4524.70
91,1061.49,4523.41
92,1065.29,4518.74
93,1072.54,4517.97
94,1043.57,4520.73
95,1049.70,4519.08
96,1111.48,4522.42
97,1067.24,4518.69
98,1040.01,4523.77
99,1049.92,4520.06
100,1072.34,4523.91
