session,latency_ms,bandwidth_kb
1,932.47,10423.42
2,955.37,10528.05
3,969.77,10527.74
4,975.50,10527.66
5,997.26,10522.46
6,1001.67,10522.75
7,1009.62,10521.64
8,995.94,10525.18
9,1015.81,10522.87
10,1005.85,10525.47
11,1007.41,10525.87
12,1014.52,10519.00
13,1014.32,10525.58
14,1019.31,10525.84
15,1012.05,10526.48
16,1006.98,10526.56
17,1015.18,10525.10
18,1015.62,10529.59
19,1022.28,10528.06
20,1018.18,10526.17
21,1015.28,10526.99
22,1034.49,10523.22
23,1015.25,10530.02
24,1020.97,10528.36
25,1021.09,10527.97
26,1041.17,10525.44
27,1039.97,10521.20
28,1034.05,10527.66
29,1053.93,10525.03
30,1052.63,10529.41
31,1088.31,10525.34
32,1092.35,10527.32
33,1026.72,10530.67
34,1060.50,10523.82
35,1042.04,10525.99
36,1047.75,10525.05
37,1085.19,10528.14
38,1047.20,10529.52
39,1035.61,10527.13
40,1046.12,10522.28
41,1044.58,10527.58
42,1045.60,10528.63
43,1051.13,10527.32
44,1037.72,10530.33
45,1041.75,10526.99
46,1035.23,10527.38
47,1044.36,10527.09
48,1029.53,10530.58
49,1058.51,10523.04
50,1044.36,10524.41
51,1077.97,10526.01
52,1057.85,10523.11
53,1052.35,10526.53
54,1038.71,10528.45
55,1038.88,10528.50
56,1040.98,10526.52
57,1055.57,10525.67
58,1037.08,10534.01
59,1050.09,10528.83
60,1056.51,10526.38
61,1054.61,10528.05
62,1067.62,10521.60
63,1096.87,10523.34
64,1075.67,10526.96
65,1045.58,10528.47
66,1050.51,10528.19
67,1058.09,10527.69
68,1056.73,10525.80
69,1038.96,10530.68
70,1057.15,10527.98
71,1055.71,10526.34
72,1057.96,10527.29
73,1051.47,10523.15
74,1046.42,10529.67
75,1045.91,10529.03
76,1059.56,10530.26
77,1050.19,10527.04
78,1063.54,10523.73
79,1046.57,10529.40
80,1053.45,10529.30
81,1052.82,10526.57
82,1056.63,10527.42
83,1060.28,10525.37
84,1051.05,10528.03
85,1048.19,10528.99
86,1074.93,10528.62
87,1051.18,10527.30
88,1063.97,10526.25
89,1048.98,10528.15
90,1046.39,10530.72
91,1072.58,10522.76
92,1063.52,10524.58
93,1058.31,10527.82
94,1098.25,10528.01
95,1069.90,10524.73
96,1061.38,10525.22
97,1066.33,10523.14
98,1058.88,10527.00
99,1050.88,10529.23
100,1060.26,10525.37
