session,latency_ms,bandwidth_kb
1,938.33,5042.39
2,918.24,5068.91
3,919.77,5069.05
4,962.63,5072.69
5,931.56,5065.47
6,914.11,5073.06
7,919.68,5067.45
8,917.53,5068.27
9,924.41,5067.18
10,934.92,5066.18
11,925.31,5069.97
12,931.38,5071.18
13,920.54,5074.70
14,952.80,5066.53
15,932.75,5071.37
16,948.33,5068.66
17,971.41,5069.49
18,937.96,5073.69
19,1015.61,5071.77
20,975.44,5074.11
21,955.33,5067.38
22,953.92,5069.32
23,967.65,5068.88
24,951.18,5071.08
25,960.93,5069.19
26,964.56,5065.64
27,964.58,5068.13
28,962.08,5071.52
29,971.32,5068.01
30,967.17,5067.52
31,965.86,5069.96
32,966.40,5067.17
33,967.84,5070.87
34,967.38,5070.88
35,1006.40,5070.61
36,969.80,5067.51
37,966.87,5072.11
38,980.08,5069.72
39,987.23,5066.13
40,985.81,5072.83
41,1008.32,5072.35
42,973.10,5073.60
43,983.22,5068.43
44,971.90,5074.45
45,1024.80,5070.56
46,1020.76,5072.17
47,990.14,5071.49
48,995.05,5066.74
49,995.67,5069.61
50,989.34,5074.18
51,996.81,5068.74
52,992.03,5069.18
53,989.89,5071.78
54,1003.97,5069.25
55,1003.23,5067.26
56,993.30,5071.08
57,994.01,5069.82
58,1005.70,5068.03
59,1008.20,5069.76
60,1007.70,5066.69
61,987.59,5075.63
62,996.57,5069.91
63,1005.40,5072.18
64,1016.81,5068.72
65,1017.18,5068.77
66,1007.35,5071.50
67,1009.77,5069.70
68,1002.36,5072.14
69,998.82,5072.80
70,1013.87,5069.20
71,1024.76,5067.25
72,1005.28,5073.13
73,1018.36,5069.28
74,1015.49,5074.47
75,1012.89,5071.99
76,1023.71,5070.90
77,1019.12,5066.81
78,1018.05,5070.42
79,1019.24,5069.30
80,1012.41,5074.23
81,1014.70,5068.30
82,1016.69,5069.59
83,1015.44,5072.33
84,1025.95,5068.42
85,1015.68,5073.95
86,1020.50,5070.30
87,1021.86,5071.85
88,1019.85,5071.93
89,1036.07,5068.04
90,1034.80,5067.19
91,1031.80,5069.08
92,1020.70,5071.27
93,1044.77,5067.09
94,1027.36,5072.16
95,1025.68,5072.12
96,1018.46,5072.55
97,1028.45,5069.30
98,1024.13,5069.11
99,1042.48,5068.87
100,1095.34,5074.02
