session,latency_ms,bandwidth_kb
1,961.06,3693.34
2,961.18,3701.54
3,937.51,3701.38
4,936.32,3700.13
5,1004.08,3699.83
6,989.22,3697.80
7,989.01,3700.82
8,1031.68,3701.83
9,1000.52,3702.82
10,1018.24,3697.97
11,1004.25,3701.74
12,980.86,3697.67
13,973.80,3705.85
14,986.46,3699.17
15,978.51,3699.15
16,980.29,3698.77
17,997.99,3697.40
18,977.26,3700.10
19,980.58,3701.27
20,990.00,3699.64
21,1011.60,3696.91
22,1024.32,3703.34
23,996.76,3699.11
24,1027.98,3703.80
25,996.71,3699.69
26,1012.33,3698.92
27,1004.48,3698.24
28,996.45,3702.63
29,1010.31,3698.83
30,1002.48,3699.27
31,1010.03,3701.00
32,1001.58,3699.28
33,1021.18,3698.73
34,1000.32,3702.39
35,1017.16,3699.26
36,1000.89,3701.63
37,1023.15,3699.38
38,1018.51,3699.64
39,1020.12,3700.99
40,1040.19,3697.88
41,1031.81,3699.66
42,1030.97,3698.58
43,1021.31,3702.68
44,1024.47,3699.54
45,1034.27,3700.54
46,1034.48,3698.02
47,1027.01,3701.52
48,1039.58,3699.39
49,1027.47,3701.46
50,1051.54,3696.10
51,1030.09,3700.29
52,1034.89,3701.73
53,1026.18,3702.19
54,1044.07,3699.94
55,1032.60,3700.87
56,1069.98,3693.80
57,1038.57,3699.02
58,1059.02,3697.55
59,1144.25,3704.82
60,1170.68,3701.00
61,1052.77,3701.79
62,1141.01,3701.44
63,1046.29,3700.08
64,1048.71,3700.72
65,1053.08,3701.68
66,1052.03,3700.69
67,1050.73,3701.46
68,1060.25,3696.86
69,1043.98,3702.94
70,1057.07,3698.82
71,1048.80,3702.48
72,1050.42,3697.93
73,1061.34,3699.97
74,1053.18,3700.81
75,1081.98,3694.00
76,1062.26,3699.49
77,1062.36,3699.24
78,1054.57,3702.40
79,1076.48,3699.25
80,1048.65,3703.41
81,1082.10,3702.77
82,1065.06,3705.19
83,1055.52,3702.05
84,1092.51,3708.46
85,1073.22,3698.05
86,1070.70,3698.03
87,1095.53,3699.99
88,1076.41,3699.64
89,1064.58,3700.25
90,1108.46,3701.59
91,1101.92,3701.63
92,1060.33,3701.82
93,1064.06,3701.97
94,1076.48,3705.52
95,1065.14,3698.07
96,1104.17,3695.55
97,1240.70,3704.36
98,1102.53,3703.10
99,1129.94,3697.11
100,1060.96,3703.50
