KEM,DS,Avg Latency (ms),Avg Bandwidth (KB),Client_CPU%,Server_CPU%,Client_MEM%,Server_MEM%
ffdhe2048,rsa2048,116.57,442.58,1149.11,222.28,2.72,0.69
ffdhe2048,ecdsa_p256,114.43,386.64,1185.41,157.19,3.69,0.71
ffdhe2048,ed25519,126,378.61,1230.07,149.64,3.77,0.69
secp256r1,rsa2048,113.69,406.72,1170.54,177.03,3.16,0.7
x25519,rsa2048,123.77,399.66,1160.99,169.78,3.83,0.72
mlkem512,mldsa44,117.57,1085.28,1252.22,109.67,3.18,0.71
mlkem512,falcon512,128.04,683.36,1264.53,117.46,3.63,0.71
mlkem512,sphincssha2128fsimple,213.58,3857.46,709.17,676.28,6.47,0.95
hqc128,mldsa44,231.99,1581.33,1042.78,419.54,3.77,0.83
hqc128,falcon512,236.47,1194.9,1047.4,426.7,4.36,0.85
ffdhe2048,mldsa44,126.36,979.29,1179.45,165.43,4.17,0.78
ffdhe2048,falcon512,127.36,579.55,1167.59,180.49,3.97,0.78
ffdhe2048,sphincssha2128fsimple,230.49,3754.98,741.52,677.98,5.07,0.99
secp256r1,mldsa44,114.97,943.96,1221.56,119.98,4.38,0.75
x25519,falcon512,115.84,537.87,1229.65,126.83,3.64,0.77
mlkem512,rsa2048,125.3,545.89,1207.5,163.51,3.68,0.76
mlkem512,ecdsa_p256,116.64,491.3,1261.49,101.2,3.5,0.74
mlkem512,ed25519,129.77,483.09,1265.03,97.64,4.02,0.75
hqc128,rsa2048,240.28,1045.36,1023.03,440.03,4.7,0.91
hqc128,ecdsa_p256,225.07,987.77,1054.33,416.96,3.98,0.87
