KEM,DS,Client_CPU%,Client_MEM%,Server_CPU%,Server_MEM%
ffdhe2048,rsa2048,1149.11,2.72,222.28,0.69
ffdhe2048,ecdsa_p256,1185.41,3.69,157.19,0.71
ffdhe2048,ed25519,1230.07,3.77,149.64,0.69
secp256r1,rsa2048,1170.54,3.16,177.03,0.70
x25519,rsa2048,1160.99,3.83,169.78,0.72
mlkem512,mldsa44,1252.22,3.18,109.67,0.71
mlkem512,falcon512,1264.53,3.63,117.46,0.71
mlkem512,sphincssha2128fsimple,709.17,6.47,676.28,0.95
hqc128,mldsa44,1042.78,3.77,419.54,0.83
hqc128,falcon512,1047.40,4.36,426.70,0.85
ffdhe2048,mldsa44,1179.45,4.17,165.43,0.78
ffdhe2048,falcon512,1167.59,3.97,180.49,0.78
ffdhe2048,sphincssha2128fsimple,741.52,5.07,677.98,0.99
secp256r1,mldsa44,1221.56,4.38,119.98,0.75
x25519,falcon512,1229.65,3.64,126.83,0.77
mlkem512,rsa2048,1207.50,3.68,163.51,0.76
mlkem512,ecdsa_p256,1261.49,3.50,101.20,0.74
mlkem512,ed25519,1265.03,4.02,97.64,0.75
hqc128,rsa2048,1023.03,4.70,440.03,0.91
hqc128,ecdsa_p256,1054.33,26.31,416.96,0.87
