session,latency_ms,bandwidth_kb
1,110.55,390.49
2,111.03,386.72
3,108.85,387.00
4,110.56,388.27
5,107.14,384.80
6,109.55,386.83
7,111.45,386.91
8,113.84,388.12
9,107.40,384.02
10,107.49,386.68
11,108.98,389.85
12,108.80,386.06
13,109.34,385.38
14,106.12,386.55
15,107.42,384.85
16,113.22,390.97
17,105.29,384.63
18,107.63,388.14
19,111.42,389.77
20,106.72,385.27
21,110.39,384.38
22,111.64,386.05
23,110.79,388.43
24,109.75,384.42
25,109.89,387.93
26,113.11,385.88
27,113.19,386.81
28,110.02,385.49
29,114.58,385.19
30,110.42,387.75
31,112.30,388.28
32,112.29,386.48
33,109.58,384.74
34,112.05,387.06
35,114.47,387.49
36,113.24,386.70
37,114.22,386.68
38,113.51,389.85
39,111.00,387.04
40,113.78,388.39
41,110.72,386.23
42,111.12,386.07
43,115.69,389.29
44,117.63,386.07
45,115.75,385.24
46,113.96,386.72
47,110.29,384.56
48,114.65,386.43
49,114.01,388.50
50,113.43,386.34
51,114.15,388.47
52,113.37,384.38
53,112.89,385.56
54,112.85,385.90
55,115.08,389.14
56,116.62,386.91
57,112.24,385.96
58,114.06,388.63
59,116.19,386.90
60,114.20,384.96
61,113.93,384.35
62,115.29,385.74
63,114.04,383.55
64,111.90,384.20
65,111.57,387.53
66,115.12,388.15
67,115.92,386.59
68,114.28,389.19
69,112.27,385.88
70,116.05,386.50
71,114.66,386.47
72,112.30,387.22
73,115.88,386.12
74,119.38,390.48
75,117.93,388.51
76,114.29,384.80
77,110.78,385.81
78,115.67,387.44
79,115.78,383.33
80,115.39,385.43
81,112.85,382.66
82,122.37,390.88
83,115.34,388.78
84,117.95,386.87
85,116.25,387.08
86,119.16,387.45
87,120.80,385.62
88,121.24,388.70
89,118.29,385.50
90,120.77,385.72
91,119.79,386.85
92,120.92,387.41
93,129.75,384.78
94,127.99,384.89
95,128.70,385.52
96,130.84,389.09
97,124.87,384.01
98,126.79,386.02
99,128.71,386.17
100,125.21,383.64
