session,latency_ms,bandwidth_kb
1,121.71,383.25
2,116.99,382.44
3,120.03,379.94
4,119.50,379.86
5,127.56,377.97
6,119.85,379.26
7,125.46,376.79
8,122.53,380.16
9,120.11,378.33
10,121.40,378.96
11,120.59,381.02
12,118.61,378.25
13,126.36,376.79
14,121.50,377.49
15,118.76,379.21
16,122.87,379.76
17,125.27,379.38
18,120.26,374.94
19,121.32,378.46
20,121.80,378.02
21,127.60,381.23
22,121.91,378.14
23,121.96,380.63
24,125.26,377.84
25,124.32,378.28
26,123.51,377.60
27,123.10,376.31
28,138.09,380.89
29,127.00,378.10
30,126.08,379.13
31,124.49,384.39
32,125.62,378.48
33,128.19,376.95
34,124.62,377.66
35,120.31,377.71
36,123.91,377.82
37,125.85,380.44
38,128.01,378.91
39,126.74,377.54
40,122.71,379.91
41,132.08,376.73
42,135.74,377.52
43,141.87,378.00
44,153.19,376.46
45,139.74,376.31
46,129.51,377.49
47,128.29,375.86
48,128.25,377.75
49,128.85,379.21
50,124.48,377.49
51,122.71,376.48
52,124.32,379.77
53,128.67,377.39
54,125.26,378.57
55,125.81,378.80
56,125.58,379.08
57,126.20,379.23
58,125.82,378.50
59,123.96,377.82
60,123.86,377.45
61,128.77,379.41
62,128.04,379.23
63,129.54,381.20
64,129.33,381.88
65,130.23,377.95
66,130.14,377.58
67,125.03,378.80
68,126.71,376.51
69,129.11,377.82
70,125.15,381.38
71,126.96,380.48
72,123.95,378.72
73,123.79,376.99
74,128.39,379.51
75,128.96,381.45
76,130.94,377.37
77,129.09,378.93
78,130.94,377.49
79,127.67,377.16
80,126.74,376.79
81,125.75,379.64
82,127.65,377.52
83,130.56,377.71
84,137.66,377.13
85,126.63,378.50
86,123.79,378.15
87,126.02,379.08
88,124.91,380.07
89,124.01,377.95
90,120.87,376.25
91,124.15,379.53
92,126.02,378.92
93,124.98,379.41
94,128.57,378.62
95,128.20,377.56
96,130.76,377.69
97,123.70,379.84
98,116.95,378.29
99,120.07,380.87
100,113.72,377.13
