session,latency_ms,bandwidth_kb
1,123.28,584.40
2,116.81,579.22
3,119.21,579.18
4,128.77,580.09
5,135.75,577.80
6,119.92,579.60
7,119.46,578.94
8,124.82,580.85
9,125.62,581.16
10,124.67,581.95
11,122.71,577.77
12,128.28,578.40
13,172.55,577.76
14,138.32,577.01
15,160.86,576.43
16,146.09,578.29
17,139.60,576.89
18,160.95,578.09
19,157.74,577.25
20,158.87,577.78
21,147.91,579.48
22,158.14,577.06
23,146.38,576.26
24,147.33,579.44
25,150.30,577.36
26,157.43,578.51
27,153.66,578.41
28,136.60,579.04
29,131.42,578.84
30,133.48,576.70
31,120.36,582.96
32,120.95,580.44
33,121.51,581.73
34,116.61,579.64
35,114.86,579.25
36,117.75,580.87
37,119.06,579.94
38,122.64,580.77
39,132.04,577.86
40,142.44,578.58
41,131.27,580.21
42,142.87,578.53
43,135.22,579.47
44,120.79,577.80
45,119.78,581.64
46,116.36,579.64
47,118.68,580.62
48,118.79,577.53
49,121.38,583.32
50,117.95,581.15
51,122.11,581.63
52,125.12,580.49
53,121.04,580.34
54,120.26,581.16
55,122.57,583.54
56,122.31,579.92
57,120.50,580.91
58,119.56,582.18
59,119.07,578.64
60,126.86,581.26
61,120.83,575.99
62,122.24,579.56
63,122.53,579.70
64,120.40,578.70
65,120.78,577.38
66,121.23,579.13
67,122.65,581.47
68,121.60,580.32
69,121.72,580.85
70,133.50,580.42
71,120.58,579.73
72,125.89,581.02
73,119.25,581.41
74,120.63,581.47
75,118.22,579.31
76,125.88,580.10
77,120.92,579.89
78,118.14,576.75
79,123.74,580.69
80,117.21,578.40
81,122.57,579.85
82,121.22,580.97
83,117.84,577.32
84,121.98,581.68
85,122.31,582.18
86,124.15,580.03
87,123.00,578.77
88,121.19,580.63
89,120.25,579.34
90,123.45,581.66
91,121.96,577.81
92,117.07,577.36
93,123.60,580.68
94,117.51,578.86
95,119.97,578.75
96,120.16,577.74
97,119.67,580.43
98,120.56,577.93
99,121.16,579.93
100,120.33,578.93
