session,latency_ms,bandwidth_kb
1,115.14,982.17
2,109.24,980.43
3,112.04,980.95
4,107.92,979.21
5,108.86,980.30
6,113.99,978.73
7,135.61,979.87
8,141.77,979.36
9,147.46,976.61
10,151.33,978.48
11,150.33,975.60
12,136.10,976.50
13,143.09,976.82
14,150.94,976.61
15,157.77,977.26
16,141.49,976.87
17,154.86,977.10
18,136.72,977.62
19,132.94,978.39
20,122.46,977.77
21,122.66,977.14
22,124.43,978.52
23,149.76,977.40
24,127.28,976.50
25,136.41,978.76
26,120.06,979.77
27,118.68,979.14
28,119.68,980.80
29,120.92,979.70
30,129.14,979.42
31,122.29,980.28
32,123.84,979.94
33,128.80,975.88
34,156.23,978.05
35,151.44,975.96
36,136.36,977.90
37,151.86,977.12
38,143.22,976.96
39,122.67,980.13
40,126.70,980.71
41,118.94,979.87
42,120.44,979.06
43,120.69,979.06
44,123.46,980.90
45,118.83,976.84
46,121.78,978.37
47,123.00,980.73
48,124.55,984.19
49,124.95,979.34
50,119.48,978.28
51,120.44,978.54
52,124.43,981.18
53,120.66,979.38
54,120.36,979.96
55,119.33,979.06
56,122.79,980.93
57,123.84,982.13
58,117.88,978.67
59,118.16,978.63
60,119.07,980.35
61,124.08,983.33
62,121.64,978.13
63,123.41,977.23
64,122.95,978.13
65,131.27,979.62
66,121.64,977.92
67,119.88,980.90
68,121.92,981.17
69,120.21,978.84
70,124.62,982.17
71,120.86,979.68
72,122.08,982.06
73,119.94,979.25
74,122.78,979.87
75,124.08,982.73
76,120.03,979.40
77,121.69,980.35
78,127.95,977.69
79,123.06,979.36
80,124.36,979.16
81,120.44,980.47
82,122.54,979.71
83,123.40,979.51
84,121.24,980.20
85,122.86,980.84
86,120.85,977.38
87,121.24,981.41
88,121.66,979.29
89,125.15,982.82
90,126.32,981.83
91,124.01,983.07
92,120.48,979.79
93,122.10,978.73
94,124.65,978.37
95,121.08,979.83
96,126.31,979.94
97,123.77,978.91
98,120.47,977.19
99,121.19,981.54
100,122.61,978.84
