session,latency_ms,bandwidth_kb
1,118.38,446.12
2,111.99,440.96
3,109.71,441.87
4,110.31,442.81
5,116.24,442.83
6,113.90,445.24
7,108.60,440.10
8,114.35,444.34
9,112.54,443.56
10,111.61,442.34
11,111.60,441.59
12,115.25,442.55
13,111.22,443.58
14,112.43,443.22
15,112.66,441.05
16,109.81,442.27
17,118.73,445.17
18,111.45,444.64
19,115.67,443.56
20,111.22,443.39
21,113.65,441.59
22,111.98,440.25
23,119.37,442.08
24,113.94,442.57
25,114.01,444.29
26,111.96,442.10
27,109.61,440.62
28,123.54,441.46
29,111.54,440.55
30,112.13,442.49
31,110.74,440.73
32,113.05,441.37
33,112.50,441.89
34,111.14,443.24
35,111.98,441.11
36,110.85,442.57
37,115.14,443.13
38,111.10,441.53
39,116.81,444.33
40,112.88,443.82
41,111.97,440.08
42,115.10,443.91
43,113.88,441.87
44,117.21,443.82
45,116.86,443.76
46,119.45,440.60
47,113.52,443.93
48,114.06,442.68
49,116.94,441.31
50,113.83,442.72
51,113.30,444.08
52,114.07,443.69
53,114.88,444.12
54,115.08,442.55
55,115.26,441.63
56,115.40,444.36
57,114.54,443.28
58,119.48,443.43
59,114.37,443.37
60,116.38,444.44
61,115.78,445.13
62,113.85,439.16
63,117.70,442.98
64,112.13,440.38
65,115.36,441.35
66,112.65,439.05
67,115.07,442.74
68,109.47,440.92
69,114.08,441.64
70,115.28,440.76
71,117.35,442.14
72,120.15,441.69
73,122.38,444.64
74,121.17,441.13
75,117.27,442.34
76,117.91,445.65
77,116.12,443.18
78,117.57,441.54
79,126.96,443.61
80,124.13,444.08
81,120.14,441.18
82,149.27,443.63
83,121.29,444.53
84,118.75,441.54
85,121.41,445.07
86,117.30,441.48
87,121.45,442.32
88,137.25,440.86
89,124.05,443.39
90,121.30,443.09
91,117.75,441.46
92,122.95,441.86
93,118.55,442.06
94,131.33,440.43
95,122.35,443.20
96,138.01,444.23
97,122.04,440.00
98,122.19,444.12
99,118.15,442.64
100,117.84,443.97
