session,latency_ms,bandwidth_kb
1,292.12,3764.87
2,197.21,3753.79
3,221.43,3754.90
4,215.41,3750.78
5,222.99,3752.82
6,209.76,3754.37
7,208.32,3751.35
8,207.22,3754.86
9,221.50,3756.73
10,227.81,3754.83
11,227.13,3755.20
12,208.70,3755.30
13,224.53,3754.67
14,217.21,3754.12
15,216.47,3752.12
16,218.51,3757.56
17,218.25,3757.71
18,231.24,3754.85
19,222.07,3755.70
20,215.87,3760.52
21,227.72,3755.69
22,213.24,3751.25
23,211.86,3756.05
24,212.57,3755.03
25,223.34,3753.37
26,211.21,3751.93
27,215.96,3756.02
28,224.66,3752.30
29,225.72,3755.49
30,224.13,3755.25
31,224.50,3756.55
32,228.34,3755.51
33,236.26,3754.41
34,239.28,3756.35
35,215.97,3752.44
36,229.95,3752.89
37,246.09,3757.66
38,240.29,3754.08
39,250.70,3754.22
40,232.79,3755.08
41,232.41,3753.31
42,240.01,3754.13
43,232.75,3753.13
44,252.52,3756.71
45,285.75,3757.17
46,273.01,3754.45
47,272.03,3751.70
48,253.83,3756.18
49,248.09,3753.76
50,247.22,3756.88
51,226.37,3753.89
52,249.79,3754.87
53,239.79,3754.23
54,248.11,3757.44
55,249.90,3755.06
56,239.08,3751.39
57,238.33,3753.62
58,239.71,3755.55
59,245.85,3756.97
60,235.74,3753.73
61,241.37,3755.88
62,256.67,3757.04
63,255.27,3754.99
64,249.32,3755.89
65,243.52,3755.68
66,229.39,3754.83
67,219.32,3755.00
68,256.94,3758.79
69,219.47,3755.42
70,233.41,3755.33
71,231.20,3753.00
72,219.01,3756.76
73,216.53,3751.54
74,233.70,3753.77
75,223.04,3756.33
76,225.32,3751.38
77,224.38,3752.18
78,217.92,3755.03
79,215.93,3751.89
80,229.61,3753.69
81,234.20,3755.91
82,226.98,3754.09
83,226.01,3756.71
84,226.73,3755.17
85,221.85,3753.18
86,221.81,3760.21
87,253.51,3759.30
88,217.81,3755.66
89,222.84,3756.35
90,224.85,3754.41
91,219.43,3753.16
92,234.35,3754.30
93,221.72,3755.09
94,218.00,3753.35
95,229.86,3755.52
96,226.01,3755.76
97,217.04,3754.85
98,215.03,3754.07
99,222.35,3756.28
100,218.69,3757.70
