session,latency_ms,bandwidth_kb
1,215.85,987.63
2,204.59,988.88
3,206.83,986.32
4,211.30,988.39
5,209.36,986.55
6,208.15,986.25
7,208.46,987.54
8,211.81,989.20
9,224.84,986.17
10,220.57,988.16
11,215.93,987.33
12,214.90,988.28
13,217.77,986.82
14,221.41,989.41
15,230.13,987.68
16,240.22,985.91
17,269.74,988.89
18,226.27,987.62
19,218.88,987.03
20,224.74,989.46
21,219.36,986.70
22,222.41,985.82
23,218.88,986.76
24,242.51,986.08
25,245.85,989.47
26,219.27,989.21
27,233.10,988.41
28,222.55,986.73
29,219.14,987.87
30,221.73,987.15
31,225.62,986.73
32,219.12,987.62
33,217.08,988.85
34,222.78,986.77
35,224.16,986.36
36,223.77,988.65
37,218.86,986.27
38,221.43,987.46
39,232.43,987.80
40,222.20,986.16
41,226.40,986.25
42,217.56,988.13
43,223.67,986.98
44,221.34,987.02
45,225.99,987.88
46,222.00,989.15
47,221.52,988.65
48,221.41,988.02
49,223.90,988.81
50,229.02,988.20
51,221.41,987.14
52,221.40,986.60
53,222.60,987.77
54,233.75,989.27
55,223.26,987.35
56,222.08,986.73
57,222.18,988.21
58,233.71,988.77
59,233.73,987.67
60,228.89,986.15
61,223.77,986.38
62,249.00,988.54
63,230.88,989.06
64,225.62,986.82
65,222.62,986.72
66,220.67,988.20
67,220.86,989.20
68,221.33,988.74
69,226.67,987.86
70,231.09,985.00
71,236.16,988.81
72,218.93,988.13
73,229.53,988.21
74,225.47,987.18
75,221.80,987.06
76,224.81,989.02
77,225.98,988.66
78,231.42,987.75
79,225.26,987.61
80,226.90,986.06
81,225.59,986.62
82,226.18,988.27
83,228.66,989.56
84,227.60,989.79
85,225.92,988.23
86,227.31,987.93
87,225.66,986.96
88,231.27,989.32
89,228.44,989.18
90,226.11,988.17
91,228.86,988.17
92,223.37,987.51
93,229.23,987.21
94,225.26,988.41
95,226.15,989.01
96,226.34,987.19
97,245.75,988.88
98,249.21,990.48
99,226.90,989.39
100,224.52,986.11
