session,latency_ms,bandwidth_kb
1,216.87,1194.13
2,206.46,1194.89
3,214.40,1194.53
4,215.88,1194.70
5,232.25,1194.26
6,224.46,1192.78
7,222.42,1193.39
8,224.83,1193.19
9,240.95,1195.61
10,238.48,1195.37
11,231.89,1195.61
12,225.16,1194.28
13,228.59,1192.79
14,228.69,1197.79
15,234.19,1195.04
16,230.21,1195.90
17,236.38,1198.07
18,230.37,1196.07
19,229.04,1195.50
20,233.93,1194.62
21,231.86,1195.51
22,238.10,1193.57
23,229.23,1192.90
24,230.80,1193.56
25,234.00,1193.78
26,237.31,1194.46
27,234.32,1193.81
28,235.72,1196.05
29,236.93,1194.83
30,234.60,1193.03
31,232.07,1195.18
32,239.63,1193.84
33,233.54,1194.41
34,240.05,1196.00
35,232.23,1195.92
36,233.34,1194.53
37,235.90,1193.88
38,235.06,1193.41
39,236.57,1194.21
40,234.95,1194.25
41,230.72,1193.39
42,245.11,1194.42
43,240.66,1195.05
44,232.48,1194.13
45,239.47,1195.97
46,235.63,1196.09
47,275.13,1198.51
48,229.82,1194.90
49,234.10,1197.68
50,247.39,1193.90
51,250.26,1193.86
52,243.66,1194.30
53,240.26,1193.73
54,233.19,1197.16
55,235.62,1194.43
56,234.78,1194.16
57,236.11,1195.95
58,236.55,1193.69
59,234.64,1192.87
60,239.90,1194.75
61,238.77,1195.57
62,240.12,1196.43
63,240.28,1194.99
64,238.57,1196.07
65,237.60,1194.59
66,246.13,1195.92
67,239.01,1194.97
68,236.31,1195.23
69,238.99,1194.37
70,237.44,1194.18
71,235.50,1194.86
72,238.64,1195.85
73,239.42,1194.96
74,252.61,1198.32
75,239.25,1194.97
76,240.29,1195.29
77,240.21,1195.19
78,241.56,1193.77
79,233.19,1193.50
80,236.24,1195.25
81,241.72,1194.52
82,239.32,1195.28
83,242.22,1194.77
84,235.61,1194.33
85,236.08,1193.75
86,242.16,1194.97
87,240.49,1193.31
88,240.10,1196.59
89,246.34,1193.39
90,241.09,1196.53
91,242.22,1198.22
92,236.72,1193.90
93,248.05,1194.95
94,239.03,1194.61
95,244.09,1193.22
96,245.39,1198.00
97,241.21,1197.85
98,240.12,1194.75
99,238.35,1192.94
100,239.82,1195.53
