session,latency_ms,bandwidth_kb
1,213.91,1582.21
2,210.98,1580.85
3,206.29,1579.32
4,210.73,1581.57
5,213.29,1578.95
6,216.02,1581.66
7,215.97,1580.83
8,217.92,1580.41
9,219.69,1580.78
10,227.29,1582.05
11,222.70,1579.91
12,219.91,1581.56
13,221.81,1581.66
14,225.62,1580.65
15,224.38,1582.01
16,227.51,1581.35
17,226.54,1581.82
18,231.74,1581.18
19,226.23,1580.08
20,230.87,1580.86
21,231.48,1580.42
22,227.88,1581.84
23,231.42,1580.76
24,258.36,1581.29
25,230.10,1581.78
26,233.08,1582.88
27,232.67,1581.75
28,226.98,1582.25
29,233.03,1580.32
30,231.63,1579.80
31,235.58,1581.96
32,230.84,1583.19
33,231.44,1582.22
34,227.56,1580.38
35,231.96,1579.79
36,234.80,1581.49
37,235.46,1580.35
38,229.90,1581.51
39,233.89,1580.93
40,235.67,1581.54
41,232.24,1581.32
42,232.69,1581.36
43,235.16,1582.60
44,232.34,1582.08
45,230.41,1580.18
46,233.70,1581.28
47,239.06,1582.16
48,229.43,1581.35
49,233.97,1580.94
50,231.17,1581.75
51,230.76,1581.62
52,233.13,1581.85
53,234.99,1582.68
54,234.84,1579.65
55,233.15,1581.67
56,231.89,1580.89
57,233.64,1580.83
58,235.20,1582.46
59,230.56,1580.38
60,232.34,1581.40
61,239.00,1581.22
62,233.80,1580.71
63,238.80,1580.98
64,238.94,1582.82
65,234.76,1583.53
66,233.86,1581.45
67,236.26,1581.01
68,232.42,1580.80
69,236.65,1582.78
70,233.61,1579.30
71,235.73,1581.17
72,232.27,1581.43
73,233.20,1580.48
74,236.50,1580.37
75,239.14,1581.76
76,240.84,1579.33
77,236.22,1582.36
78,233.96,1580.97
79,233.55,1581.07
80,241.36,1580.85
81,230.97,1582.17
82,235.02,1580.71
83,235.96,1581.01
84,237.15,1581.98
85,238.95,1583.04
86,234.35,1582.71
87,241.49,1582.95
88,234.78,1580.25
89,244.31,1582.81
90,233.27,1581.49
91,236.32,1583.43
92,242.70,1583.07
93,234.78,1583.69
94,237.01,1580.54
95,239.69,1580.93
96,237.97,1580.58
97,238.50,1582.05
98,234.50,1579.51
99,241.64,1579.55
100,235.11,1581.52
