session,latency_ms,bandwidth_kb
1,217.20,1044.81
2,219.92,1043.69
3,211.71,1043.40
4,214.24,1043.57
5,235.83,1042.36
6,234.12,1044.63
7,228.59,1045.10
8,237.40,1044.22
9,235.22,1045.38
10,240.22,1045.32
11,233.13,1044.41
12,233.60,1043.83
13,235.98,1044.88
14,233.15,1043.30
15,235.46,1044.59
16,234.73,1046.05
17,246.58,1043.24
18,238.56,1043.79
19,238.35,1045.95
20,243.68,1045.26
21,233.58,1046.15
22,231.93,1044.65
23,233.57,1044.83
24,233.81,1044.76
25,233.37,1044.75
26,237.78,1044.86
27,237.99,1046.73
28,239.76,1044.82
29,241.10,1046.69
30,235.59,1043.73
31,237.56,1044.33
32,247.14,1046.56
33,234.51,1045.52
34,236.41,1046.26
35,241.97,1046.43
36,241.63,1044.24
37,238.73,1046.07
38,236.19,1046.16
39,237.31,1046.38
40,311.78,1051.30
41,234.99,1045.79
42,242.49,1046.23
43,237.48,1045.51
44,238.02,1042.45
45,243.43,1047.07
46,238.32,1045.72
47,242.58,1047.13
48,242.27,1043.22
49,236.17,1044.01
50,242.19,1045.24
51,239.33,1045.43
52,239.88,1043.57
53,240.85,1044.99
54,244.52,1047.29
55,239.16,1045.97
56,239.96,1047.15
57,244.67,1042.68
58,240.77,1045.69
59,246.45,1046.42
60,241.98,1046.30
61,241.71,1043.95
62,239.66,1046.26
63,237.18,1045.16
64,241.19,1045.08
65,241.42,1045.93
66,238.17,1044.85
67,243.67,1043.97
68,244.78,1045.59
69,246.13,1044.45
70,243.22,1045.80
71,246.53,1044.56
72,244.97,1045.97
73,241.21,1046.07
74,243.36,1046.80
75,246.42,1047.03
76,242.48,1046.48
77,247.19,1045.36
78,241.18,1045.27
79,244.60,1046.16
80,240.46,1046.82
81,244.29,1045.22
82,240.78,1047.69
83,246.25,1044.94
84,246.01,1046.69
85,242.89,1047.09
86,240.70,1045.47
87,245.09,1044.48
88,243.43,1044.12
89,241.78,1044.85
90,245.87,1046.03
91,247.19,1045.20
92,245.08,1047.95
93,242.43,1045.68
94,248.42,1048.81
95,245.12,1044.87
96,247.73,1045.40
97,242.38,1045.23
98,243.08,1044.45
99,246.85,1045.33
100,242.55,1044.28
