session,latency_ms,bandwidth_kb
1,118.96,493.75
2,103.99,491.26
3,105.13,493.72
4,106.61,491.45
5,110.43,493.17
6,103.41,491.46
7,104.25,490.11
8,101.72,492.47
9,106.67,493.44
10,102.09,491.90
11,105.59,491.85
12,106.20,489.95
13,107.66,493.45
14,107.43,489.09
15,107.84,489.98
16,105.69,492.32
17,114.45,492.29
18,108.58,490.35
19,112.45,494.52
20,109.33,490.81
21,116.17,491.93
22,107.29,493.42
23,114.93,489.91
24,110.08,493.60
25,108.09,492.66
26,111.42,492.25
27,110.87,493.47
28,115.10,491.06
29,112.18,492.87
30,112.54,491.01
31,107.83,489.28
32,113.07,491.26
33,130.06,489.80
34,133.20,488.17
35,138.20,491.25
36,121.39,487.32
37,114.30,492.01
38,123.86,489.51
39,118.60,491.30
40,108.74,491.32
41,123.82,489.74
42,136.26,491.86
43,123.82,491.48
44,121.89,490.34
45,122.06,494.09
46,118.49,488.39
47,121.06,489.88
48,120.48,493.11
49,120.15,489.51
50,125.87,488.12
51,123.43,491.92
52,135.36,489.64
53,126.83,488.81
54,121.05,490.56
55,118.33,490.77
56,112.35,491.20
57,115.58,492.44
58,111.46,490.21
59,113.38,491.27
60,113.02,490.34
61,113.78,490.10
62,113.56,490.14
63,117.81,494.26
64,134.79,489.71
65,128.04,489.08
66,126.41,488.49
67,119.55,489.15
68,124.89,490.70
69,111.97,490.37
70,113.07,492.08
71,112.07,490.06
72,109.50,490.38
73,118.41,493.46
74,113.50,493.25
75,113.36,490.87
76,112.60,492.36
77,112.96,493.81
78,117.90,493.00
79,114.24,492.57
80,120.02,495.07
81,121.86,490.21
82,121.99,492.73
83,125.10,491.81
84,121.12,491.49
85,125.25,488.25
86,121.44,489.35
87,123.94,493.88
88,120.13,490.53
89,121.43,492.94
90,126.66,490.20
91,118.74,489.80
92,120.67,490.95
93,123.90,491.04
94,119.79,491.88
95,126.73,493.67
96,121.09,491.79
97,120.24,490.49
98,112.95,490.93
99,110.28,490.84
100,110.93,494.35
