session,latency_ms,bandwidth_kb
1,106.04,485.67
2,103.13,487.43
3,103.05,485.02
4,103.38,485.04
5,105.66,488.70
6,100.88,484.57
7,103.30,484.55
8,101.67,485.50
9,99.56,484.77
10,102.43,486.38
11,105.18,486.21
12,104.09,484.35
13,102.69,484.94
14,108.66,486.81
15,103.00,484.64
16,105.16,482.53
17,102.46,483.45
18,110.76,484.51
19,103.15,483.64
20,107.00,485.00
21,106.44,485.41
22,112.21,484.46
23,106.50,485.22
24,114.79,483.88
25,113.27,482.88
26,114.83,484.42
27,115.84,485.41
28,115.51,486.25
29,115.88,484.65
30,114.38,484.04
31,119.55,485.54
32,116.15,485.20
33,126.13,482.77
34,124.28,484.89
35,129.05,484.98
36,123.85,484.36
37,122.38,486.01
38,118.96,483.76
39,117.57,485.22
40,127.48,483.28
41,139.29,482.38
42,135.41,485.11
43,127.72,480.88
44,147.50,483.35
45,151.73,481.44
46,162.67,480.38
47,150.38,480.12
48,158.41,479.74
49,171.38,480.91
50,164.77,480.53
51,151.91,480.98
52,141.67,482.25
53,147.58,481.33
54,147.57,480.50
55,134.15,481.32
56,148.16,485.17
57,132.73,482.44
58,151.73,481.48
59,131.34,480.60
60,133.87,482.36
61,131.47,483.00
62,130.15,482.94
63,127.13,481.56
64,135.57,482.08
65,130.34,479.82
66,129.00,481.62
67,130.63,482.72
68,133.72,480.54
69,129.27,481.84
70,136.98,481.93
71,150.27,481.50
72,138.05,483.46
73,134.33,483.52
74,135.33,481.52
75,133.34,481.46
76,137.71,481.35
77,134.07,482.32
78,139.56,479.63
79,140.44,484.08
80,132.92,482.72
81,159.61,481.26
82,147.00,482.38
83,142.53,483.09
84,146.18,483.56
85,140.45,482.14
86,146.08,481.03
87,152.55,481.64
88,138.42,480.40
89,144.63,482.38
90,145.78,482.64
91,143.79,480.28
92,143.72,482.77
93,146.82,479.91
94,139.53,480.83
95,127.24,487.58
96,162.84,479.82
97,138.41,481.82
98,151.95,483.71
99,156.40,481.44
100,147.01,481.48
