session,latency_ms,bandwidth_kb
1,118.16,682.07
2,118.03,686.19
3,113.69,684.90
4,119.93,687.08
5,115.48,682.36
6,118.76,687.24
7,114.61,684.77
8,115.69,687.76
9,118.31,687.46
10,126.50,685.22
11,117.44,684.21
12,120.19,685.76
13,116.39,685.12
14,120.37,684.09
15,133.28,682.48
16,131.71,681.03
17,137.12,682.68
18,132.02,685.08
19,123.12,683.68
20,132.77,683.51
21,123.29,682.32
22,119.87,683.18
23,124.95,683.15
24,126.73,684.13
25,124.52,681.83
26,119.24,684.50
27,123.82,686.05
28,123.11,682.77
29,121.99,683.78
30,123.65,682.42
31,129.89,684.86
32,122.36,683.05
33,125.04,685.79
34,124.10,683.23
35,120.16,683.63
36,124.60,684.48
37,125.92,685.65
38,125.55,684.29
39,123.02,685.56
40,121.64,684.33
41,112.53,683.79
42,111.57,685.08
43,112.00,685.19
44,114.99,684.36
45,108.62,686.69
46,112.47,684.16
47,109.87,685.26
48,114.58,682.51
49,117.31,680.88
50,119.37,686.90
51,128.64,685.12
52,142.03,681.12
53,139.66,679.33
54,133.13,679.47
55,138.56,681.32
56,152.40,680.37
57,154.84,681.55
58,155.17,681.88
59,150.81,681.33
60,150.12,681.20
61,155.38,681.99
62,162.55,679.78
63,147.54,680.16
64,131.63,683.43
65,129.36,680.74
66,132.14,682.63
67,138.93,680.99
68,145.74,680.71
69,154.47,682.30
70,131.67,680.86
71,131.15,682.52
72,128.51,681.85
73,133.26,681.75
74,139.38,681.10
75,146.54,684.14
76,135.39,682.17
77,140.01,680.34
78,135.95,678.45
79,128.79,683.23
80,126.51,685.53
81,124.00,684.41
82,125.14,682.77
83,124.80,685.12
84,128.64,686.14
85,125.38,684.36
86,121.53,684.19
87,125.09,681.54
88,123.11,680.85
89,122.17,682.45
90,128.39,685.40
91,126.60,685.06
92,124.14,683.67
93,131.64,680.25
94,123.67,681.27
95,123.96,683.17
96,126.06,683.18
97,128.77,684.32
98,133.33,684.20
99,135.23,685.45
100,131.81,684.59
