session,latency_ms,bandwidth_kb
1,111.79,1086.54
2,106.69,1088.43
3,106.22,1084.18
4,104.71,1086.69
5,103.12,1086.65
6,104.67,1085.55
7,108.10,1089.59
8,105.72,1090.39
9,105.91,1087.21
10,102.80,1081.54
11,106.50,1083.32
12,126.13,1084.33
13,112.79,1085.77
14,111.47,1083.15
15,109.55,1088.49
16,107.18,1087.31
17,108.71,1085.66
18,111.46,1086.31
19,104.17,1086.71
20,107.45,1087.42
21,106.64,1087.08
22,108.72,1088.07
23,109.22,1088.84
24,111.75,1086.50
25,110.99,1087.78
26,118.69,1082.72
27,115.89,1084.50
28,111.53,1084.52
29,127.57,1083.92
30,109.72,1081.82
31,119.70,1087.42
32,114.18,1084.62
33,108.26,1086.48
34,110.23,1084.95
35,113.52,1085.23
36,112.67,1084.05
37,109.42,1087.29
38,115.96,1086.20
39,125.76,1082.14
40,137.89,1084.14
41,112.10,1085.07
42,112.25,1087.68
43,112.39,1086.33
44,113.69,1085.64
45,118.53,1087.08
46,116.82,1085.40
47,118.15,1087.47
48,120.22,1084.04
49,128.08,1083.88
50,120.31,1085.86
51,119.43,1087.12
52,125.44,1083.84
53,123.91,1086.63
54,119.68,1085.64
55,119.94,1084.29
56,122.07,1086.03
57,120.29,1082.98
58,120.24,1086.37
59,120.09,1083.94
60,118.94,1084.62
61,118.04,1082.85
62,124.25,1085.53
63,123.88,1084.34
64,119.99,1085.68
65,129.39,1081.64
66,118.37,1083.34
67,119.42,1086.18
68,119.42,1085.79
69,124.90,1084.50
70,133.06,1083.05
71,122.92,1085.47
72,118.26,1082.74
73,121.00,1083.98
74,119.83,1083.22
75,118.21,1083.11
76,122.29,1085.28
77,124.14,1085.15
78,122.92,1085.71
79,123.87,1085.81
80,120.49,1085.12
81,127.46,1087.81
82,124.00,1084.65
83,125.94,1084.93
84,126.02,1083.38
85,120.74,1082.82
86,122.06,1082.85
87,121.79,1085.58
88,125.11,1083.13
89,127.22,1085.51
90,123.32,1086.20
91,121.32,1086.13
92,123.96,1084.67
93,121.35,1085.02
94,119.72,1086.15
95,122.59,1083.11
96,121.06,1083.41
97,124.51,1083.60
98,125.75,1088.30
99,117.86,1084.09
100,124.53,1084.78
