session,latency_ms,bandwidth_kb
1,116.87,546.92
2,118.49,545.44
3,114.73,546.31
4,117.45,545.55
5,114.21,545.83
6,113.97,545.21
7,116.71,546.34
8,130.73,544.78
9,119.11,543.53
10,121.37,545.98
11,119.28,545.03
12,121.05,546.32
13,118.87,544.02
14,118.07,546.06
15,120.67,546.19
16,120.20,545.21
17,127.97,544.09
18,120.88,543.68
19,129.99,548.58
20,124.08,543.16
21,120.58,547.12
22,124.52,545.08
23,122.11,546.75
24,127.77,546.15
25,124.93,547.74
26,121.40,547.65
27,128.16,544.99
28,128.19,546.26
29,123.73,545.08
30,144.43,545.46
31,130.59,546.67
32,125.77,543.58
33,123.75,545.10
34,129.39,543.08
35,129.26,548.94
36,143.46,544.67
37,127.23,544.17
38,142.70,547.22
39,128.20,546.29
40,139.08,544.47
41,127.51,546.86
42,123.16,544.80
43,121.90,546.52
44,124.99,547.40
45,129.30,547.05
46,119.77,543.83
47,118.54,545.57
48,117.41,546.28
49,111.44,544.00
50,117.67,548.71
51,115.22,547.59
52,115.66,544.62
53,116.96,546.47
54,118.98,546.37
55,131.10,545.94
56,127.88,545.57
57,120.63,544.39
58,121.44,547.98
59,117.08,547.44
60,138.17,547.35
61,134.22,545.02
62,129.98,546.24
63,131.91,546.68
64,135.01,546.29
65,133.65,544.90
66,128.07,546.19
67,125.98,545.29
68,147.78,545.63
69,139.56,543.29
70,130.76,545.46
71,142.40,546.97
72,135.20,545.72
73,129.88,546.00
74,128.43,546.75
75,130.40,547.27
76,127.79,547.62
77,128.63,543.23
78,129.10,545.51
79,131.88,546.09
80,125.63,545.83
81,126.53,546.00
82,128.21,545.55
83,129.27,546.02
84,131.83,546.60
85,127.40,546.24
86,126.38,546.26
87,136.20,545.55
88,120.77,544.69
89,117.75,547.98
90,126.47,547.76
91,120.31,545.68
92,119.55,543.27
93,120.17,545.98
94,118.61,545.40
95,118.91,546.41
96,121.96,547.01
97,112.11,544.15
98,116.19,546.47
99,119.34,547.03
100,121.00,549.35
