session,latency_ms,bandwidth_kb
1,194.98,3856.81
2,195.27,3861.03
3,188.34,3856.62
4,193.40,3855.16
5,210.39,3857.72
6,206.96,3854.55
7,231.23,3858.75
8,207.31,3856.84
9,202.60,3855.82
10,198.54,3857.03
11,199.85,3855.15
12,220.86,3856.57
13,215.07,3854.72
14,199.92,3857.47
15,215.51,3859.98
16,206.58,3856.52
17,204.79,3860.13
18,206.45,3856.58
19,216.87,3859.91
20,216.46,3854.67
21,203.90,3857.68
22,208.76,3857.85
23,220.93,3854.93
24,236.20,3853.19
25,229.95,3855.85
26,207.70,3857.64
27,203.95,3857.16
28,205.39,3859.89
29,206.47,3855.25
30,217.77,3857.98
31,210.87,3856.91
32,218.21,3860.61
33,202.98,3857.33
34,207.30,3855.95
35,203.73,3856.64
36,219.74,3858.98
37,204.85,3857.07
38,213.07,3858.42
39,212.64,3857.65
40,217.51,3858.86
41,227.15,3856.71
42,208.28,3856.53
43,211.38,3858.22
44,211.01,3859.66
45,204.01,3854.99
46,207.12,3857.44
47,203.04,3856.71
48,211.74,3855.06
49,225.93,3855.48
50,219.53,3856.12
51,219.75,3859.19
52,227.75,3857.23
53,204.53,3857.92
54,208.30,3855.57
55,227.93,3859.18
56,208.79,3856.96
57,207.49,3860.30
58,222.26,3859.91
59,219.83,3855.46
60,226.16,3858.73
61,231.20,3858.26
62,201.89,3855.86
63,210.37,3858.62
64,229.81,3856.66
65,209.50,3856.24
66,230.65,3860.75
67,212.19,3855.62
68,215.75,3858.38
69,214.16,3858.57
70,216.94,3859.20
71,208.17,3858.17
72,209.66,3854.99
73,222.30,3862.22
74,203.39,3856.32
75,226.18,3858.92
76,227.96,3858.16
77,225.87,3862.00
78,209.57,3857.48
79,237.04,3863.11
80,228.74,3857.15
81,211.52,3853.76
82,212.55,3856.93
83,215.04,3854.69
84,208.05,3856.56
85,212.01,3858.14
86,217.81,3860.19
87,219.27,3856.87
88,215.18,3855.64
89,218.90,3857.07
90,225.85,3855.80
91,213.37,3858.53
92,208.60,3858.21
93,214.76,3859.67
94,220.07,3858.46
95,219.17,3857.82
96,213.17,3858.75
97,208.32,3854.93
98,221.59,3857.45
99,209.73,3858.24
100,216.65,3856.31
