session,latency_ms,bandwidth_kb
1,114.12,949.39
2,104.17,946.77
3,105.49,949.41
4,104.55,944.01
5,104.99,946.53
6,106.46,944.17
7,104.48,942.93
8,109.97,944.14
9,105.50,944.68
10,103.49,945.28
11,104.81,946.98
12,105.45,943.58
13,104.36,945.50
14,126.00,942.45
15,110.43,945.39
16,111.59,944.04
17,106.57,946.72
18,110.62,945.58
19,109.67,945.03
20,108.82,941.27
21,103.98,942.06
22,107.01,942.53
23,111.73,945.61
24,107.61,941.37
25,112.74,947.71
26,110.45,941.24
27,114.82,943.00
28,107.26,946.92
29,110.01,945.13
30,111.67,943.31
31,113.27,946.31
32,117.25,943.82
33,109.49,941.93
34,109.01,943.82
35,111.42,946.29
36,108.40,942.71
37,106.82,943.61
38,112.70,946.10
39,109.69,945.21
40,109.92,941.78
41,116.48,946.44
42,115.62,945.99
43,108.52,942.23
44,129.87,943.31
45,113.40,941.09
46,111.79,942.15
47,124.52,944.10
48,116.10,945.43
49,120.22,943.37
50,109.75,942.62
51,109.34,944.19
52,121.42,942.94
53,117.75,941.61
54,120.35,945.05
55,116.40,944.34
56,113.47,944.06
57,114.55,945.46
58,114.81,943.56
59,116.09,944.92
60,113.17,943.99
61,116.40,943.52
62,111.34,942.06
63,114.55,944.10
64,115.50,943.63
65,111.77,943.18
66,115.02,944.81
67,114.74,946.98
68,109.87,943.29
69,121.58,946.08
70,113.41,943.05
71,117.60,947.62
72,111.75,945.19
73,116.27,943.24
74,114.92,947.04
75,113.35,943.87
76,114.54,944.80
77,115.19,943.59
78,121.09,942.81
79,126.49,940.86
80,122.18,941.36
81,123.68,945.03
82,124.15,943.56
83,129.98,943.63
84,129.81,942.75
85,131.63,942.55
86,122.49,943.76
87,123.13,942.92
88,121.49,940.02
89,124.65,943.89
90,121.58,943.44
91,119.16,942.32
92,119.84,939.88
93,121.95,944.40
94,121.19,939.93
95,131.42,943.13
96,124.62,943.41
97,124.73,942.83
98,125.00,941.37
99,124.60,942.75
100,123.53,942.58
