session,latency_ms,bandwidth_kb
1,107.33,408.48
2,106.35,406.42
3,108.07,405.38
4,111.21,408.91
5,105.76,405.58
6,103.35,405.21
7,107.53,408.59
8,115.73,407.06
9,108.48,405.90
10,122.43,405.94
11,108.85,408.41
12,109.26,409.27
13,106.69,408.22
14,107.19,405.21
15,107.07,405.45
16,114.25,411.14
17,111.19,404.05
18,112.30,406.54
19,112.85,405.72
20,112.20,406.74
21,111.43,406.16
22,107.47,406.82
23,109.22,403.60
24,109.78,405.19
25,112.26,407.75
26,111.10,407.15
27,111.46,407.47
28,112.11,408.19
29,109.95,407.49
30,113.17,406.97
31,114.44,408.59
32,114.21,406.91
33,110.43,409.47
34,113.89,409.60
35,114.11,406.44
36,108.87,407.94
37,110.70,408.13
38,111.46,406.46
39,116.41,408.69
40,107.30,404.25
41,113.38,405.81
42,111.27,403.47
43,112.09,404.87
44,110.23,407.66
45,114.41,405.41
46,110.20,406.72
47,113.21,403.79
48,113.01,407.00
49,110.94,407.55
50,114.20,407.75
51,112.25,408.03
52,116.68,406.70
53,115.02,404.83
54,111.79,404.96
55,113.56,406.09
56,114.42,407.58
57,111.63,406.50
58,113.03,406.95
59,113.80,404.55
60,113.07,407.30
61,112.21,405.27
62,114.70,407.81
63,114.39,409.45
64,112.01,406.09
65,116.54,408.84
66,119.17,410.15
67,113.20,406.35
68,114.53,408.76
69,113.77,408.91
70,113.32,405.62
71,113.96,403.98
72,112.66,406.39
73,110.52,403.99
74,115.13,406.44
75,113.09,405.61
76,115.19,408.67
77,115.37,406.33
78,110.79,404.72
79,118.13,408.89
80,116.15,406.35
81,114.52,409.29
82,116.17,408.33
83,118.81,406.63
84,115.75,404.98
85,118.32,407.76
86,114.49,404.53
87,115.13,405.64
88,117.36,404.16
89,117.93,407.19
90,122.56,406.31
91,121.08,405.96
92,125.52,406.14
93,123.90,405.34
94,120.28,406.42
95,121.97,406.83
96,122.96,409.36
97,125.59,407.17
98,123.22,407.90
99,122.07,405.45
100,120.50,403.41
