session,latency_ms,bandwidth_kb
1,105.25,539.19
2,105.63,539.04
3,102.45,540.92
4,106.15,537.72
5,106.47,540.91
6,101.98,535.59
7,104.56,540.16
8,106.51,539.42
9,103.51,537.52
10,105.28,536.46
11,112.70,537.08
12,120.83,536.28
13,117.52,535.23
14,108.11,533.83
15,108.53,538.50
16,106.25,537.83
17,110.33,538.08
18,111.24,535.52
19,106.78,536.37
20,119.49,540.21
21,121.30,538.50
22,110.62,538.59
23,114.49,540.80
24,119.47,536.42
25,111.16,534.21
26,110.78,534.44
27,112.98,538.46
28,113.75,541.58
29,114.85,537.30
30,118.19,535.88
31,114.50,536.98
32,114.57,540.67
33,113.81,540.88
34,110.00,536.45
35,112.52,537.29
36,110.70,536.59
37,110.97,536.47
38,114.78,539.29
39,110.26,539.30
40,107.16,537.49
41,115.43,537.07
42,110.60,536.94
43,113.20,539.09
44,111.07,540.36
45,112.95,537.89
46,111.00,540.67
47,113.30,538.29
48,121.03,538.72
49,115.32,539.73
50,113.98,539.23
51,114.44,539.30
52,117.55,538.75
53,115.90,536.15
54,113.59,538.49
55,117.86,539.13
56,120.22,536.05
57,118.67,535.58
58,121.50,538.14
59,118.83,534.25
60,124.65,535.13
61,113.77,537.96
62,113.77,537.91
63,115.92,540.00
64,113.83,538.94
65,114.59,538.41
66,113.78,536.98
67,110.93,539.38
68,113.05,539.39
69,118.11,540.92
70,117.90,538.17
71,114.68,535.64
72,124.15,537.33
73,118.62,535.86
74,121.67,539.06
75,120.65,539.53
76,123.65,537.58
77,117.99,536.65
78,123.44,540.89
79,122.26,538.68
80,119.16,536.94
81,120.49,537.66
82,130.38,538.00
83,130.43,537.02
84,138.17,536.72
85,128.63,537.93
86,129.08,535.35
87,123.89,534.99
88,126.11,536.62
89,119.51,536.45
90,124.00,536.29
91,124.89,538.95
92,118.34,537.23
93,120.20,539.28
94,123.25,538.37
95,120.99,540.06
96,120.45,537.61
97,119.07,538.29
98,117.91,536.82
99,120.52,537.74
100,118.40,536.57
