session,latency_ms,bandwidth_kb
1,117.25,402.46
2,106.83,401.67
3,106.23,401.07
4,105.15,402.18
5,104.72,399.58
6,106.28,401.17
7,107.02,402.91
8,104.90,399.46
9,107.06,399.48
10,112.53,401.86
11,106.53,398.21
12,108.03,402.14
13,105.18,400.87
14,106.42,400.68
15,100.87,398.66
16,109.58,403.92
17,109.60,401.90
18,104.24,397.56
19,101.35,397.93
20,113.77,404.38
21,145.73,397.65
22,126.65,400.62
23,117.14,399.84
24,119.89,395.91
25,132.88,397.89
26,137.95,399.65
27,131.03,398.51
28,129.67,398.27
29,133.31,398.45
30,134.67,400.08
31,135.22,398.75
32,131.25,398.04
33,128.56,398.40
34,119.87,396.49
35,125.77,397.71
36,142.55,398.85
37,123.71,402.27
38,114.60,398.36
39,124.03,400.92
40,120.38,398.81
41,130.70,401.13
42,119.49,399.77
43,156.91,397.84
44,138.49,397.09
45,142.55,398.78
46,140.22,396.92
47,132.01,400.04
48,131.68,396.90
49,141.97,398.53
50,130.41,398.28
51,136.87,397.93
52,133.45,396.64
53,127.83,398.02
54,139.27,398.17
55,129.73,399.95
56,136.86,397.41
57,125.94,398.40
58,129.41,398.29
59,161.15,398.21
60,133.83,399.52
61,139.26,399.03
62,134.85,398.70
63,121.48,399.99
64,124.02,399.61
65,123.68,399.04
66,127.73,399.63
67,128.72,398.45
68,133.74,399.66
69,134.85,399.35
70,146.47,397.89
71,161.39,399.43
72,150.42,397.11
73,144.71,398.40
74,163.40,398.23
75,135.58,401.11
76,128.13,398.26
77,127.97,397.78
78,129.55,398.72
79,114.17,400.50
80,116.28,402.25
81,109.44,398.69
82,113.35,401.45
83,112.84,402.98
84,112.28,400.92
85,111.41,401.80
86,113.99,402.31
87,107.55,398.98
88,112.94,402.76
89,111.97,400.92
90,112.75,400.14
91,120.90,402.40
92,111.43,400.98
93,114.28,401.97
94,110.04,398.64
95,112.29,400.62
96,116.66,400.94
97,108.51,397.84
98,114.14,402.91
99,113.38,401.67
100,112.84,402.08
