session,latency_ms,bandwidth_kb
1,217.40,1553.46
2,209.67,1553.56
3,213.97,1554.15
4,206.72,1553.37
5,209.28,1553.40
6,212.98,1553.72
7,216.43,1552.23
8,212.83,1553.04
9,217.73,1553.19
10,222.79,1553.73
11,223.38,1552.61
12,221.69,1553.53
13,223.46,1554.12
14,222.75,1552.54
15,219.42,1552.78
16,230.70,1552.76
17,222.60,1552.42
18,228.01,1552.91
19,232.92,1553.26
20,230.89,1553.82
21,222.08,1552.89
22,226.78,1553.66
23,229.84,1553.86
24,234.09,1553.95
25,234.45,1553.52
26,226.17,1552.14
27,231.18,1553.22
28,227.53,1554.30
29,224.51,1552.67
30,232.04,1553.00
31,231.78,1555.23
32,227.18,1552.94
33,229.59,1553.35
34,228.19,1554.44
35,227.61,1553.62
36,228.16,1554.63
37,235.66,1554.23
38,228.58,1553.98
39,229.30,1553.58
40,230.62,1553.98
41,226.29,1553.33
42,227.91,1553.99
43,228.91,1552.31
44,232.85,1553.76
45,233.06,1553.73
46,237.80,1553.14
47,231.25,1552.81
48,229.22,1553.51
49,227.85,1553.13
50,238.22,1552.57
51,230.78,1553.13
52,229.73,1553.56
53,236.30,1553.97
54,229.86,1553.67
55,230.47,1552.94
56,235.34,1553.46
57,235.16,1553.03
58,236.39,1554.16
59,240.11,1553.19
60,231.53,1553.15
61,233.71,1554.49
62,232.58,1554.62
63,247.98,1552.89
64,233.91,1553.46
65,236.49,1553.75
66,249.50,1554.64
67,237.92,1552.73
68,237.22,1552.93
69,236.29,1552.95
70,237.04,1554.13
71,238.37,1553.70
72,235.66,1553.76
73,239.26,1553.21
74,237.35,1552.24
75,235.60,1553.93
76,230.78,1553.04
77,234.94,1552.98
78,243.78,1552.97
79,236.32,1552.87
80,233.92,1553.53
81,239.63,1553.38
82,234.28,1552.74
83,234.30,1553.00
84,232.71,1554.04
85,238.73,1553.63
86,240.35,1552.70
87,246.56,1554.00
88,231.51,1553.15
89,243.91,1552.66
90,235.47,1553.59
91,240.98,1554.27
92,234.52,1553.86
93,235.74,1554.31
94,237.89,1552.95
95,238.60,1552.66
96,250.42,1553.71
97,254.45,1554.03
98,239.96,1553.47
99,235.87,1552.90
100,237.50,1554.46
