session,latency_ms,bandwidth_kb
1,110.08,646.08
2,102.20,646.22
3,103.38,645.94
4,103.05,646.57
5,102.94,645.92
6,100.28,646.61
7,105.68,647.55
8,105.31,646.72
9,105.61,649.23
10,103.95,650.58
11,104.29,650.87
12,104.89,651.09
13,102.08,651.94
14,102.26,651.94
15,105.46,652.37
16,103.75,650.90
17,105.24,651.68
18,101.51,653.14
19,108.07,650.60
20,105.01,651.03
21,106.01,651.63
22,102.28,652.33
23,103.12,652.84
24,107.01,652.17
25,100.69,651.51
26,105.09,651.38
27,102.08,652.59
28,105.30,651.80
29,102.27,652.17
30,104.64,651.63
31,106.06,651.43
32,106.06,652.11
33,106.39,650.92
34,103.23,652.26
35,104.55,652.30
36,108.37,651.94
37,107.78,652.03
38,109.93,651.86
39,107.41,650.74
40,106.29,651.38
41,103.01,652.18
42,108.46,651.28
43,107.71,651.07
44,108.78,651.36
45,105.63,651.83
46,108.37,651.12
47,108.27,652.16
48,105.97,651.48
49,106.28,652.04
50,102.56,652.87
51,108.54,651.70
52,106.76,651.41
53,108.76,651.52
54,106.23,651.70
55,115.00,651.46
56,108.83,652.49
57,125.11,651.69
58,108.48,651.48
59,111.21,651.64
60,109.88,651.41
61,108.99,652.49
62,108.96,651.60
63,111.43,651.45
64,107.15,651.46
65,107.37,652.08
66,106.26,651.99
67,109.80,652.22
68,108.81,651.32
69,112.87,651.51
70,109.37,650.97
71,110.37,651.20
72,110.46,651.74
73,111.40,651.33
74,112.94,651.95
75,108.92,651.43
76,109.91,651.75
77,107.69,651.88
78,107.70,651.42
79,109.80,652.01
80,109.52,652.21
81,108.60,652.31
82,108.91,652.29
83,111.15,650.82
84,109.17,651.99
85,109.61,651.89
86,112.84,652.39
87,110.73,651.70
88,107.62,651.68
89,107.58,651.82
90,109.51,651.85
91,106.57,651.85
92,115.36,651.79
93,116.13,652.75
94,114.08,651.76
95,105.81,652.06
96,109.14,651.54
97,109.55,652.04
98,106.60,652.58
99,112.70,650.76
100,109.60,651.10
