session,latency_ms,bandwidth_kb
1,107.47,509.17
2,104.21,515.53
3,115.74,514.93
4,109.57,514.76
5,106.31,515.29
6,108.16,514.93
7,107.67,514.08
8,108.06,514.76
9,115.09,515.25
10,107.20,514.35
11,105.48,515.07
12,107.91,514.71
13,106.00,514.17
14,112.56,514.93
15,109.27,515.53
16,108.53,514.88
17,107.59,514.87
18,111.99,514.44
19,124.60,516.06
20,111.91,514.11
21,112.99,515.44
22,111.50,513.84
23,108.54,515.14
24,113.07,514.87
25,108.22,514.62
26,110.91,514.62
27,123.24,516.00
28,113.88,516.11
29,112.14,515.33
30,128.88,515.77
31,113.42,515.53
32,119.51,514.80
33,108.66,515.51
34,109.68,514.43
35,114.39,514.84
36,117.49,514.69
37,109.78,515.19
38,108.92,514.37
39,115.46,514.68
40,113.16,515.12
41,108.96,514.43
42,111.22,514.57
43,107.84,514.90
44,109.00,514.89
45,111.36,515.94
46,111.10,515.24
47,114.09,515.41
48,113.40,514.42
49,108.98,514.69
50,114.55,514.75
51,111.02,515.37
52,113.49,514.10
53,112.12,514.85
54,113.30,515.36
55,110.51,515.26
56,112.79,514.82
57,113.54,514.89
58,114.90,514.22
59,116.09,514.29
60,110.78,514.68
61,109.87,514.79
62,110.66,515.20
63,113.48,514.88
64,115.18,514.66
65,112.66,515.60
66,108.67,514.93
67,109.56,515.83
68,113.91,514.83
69,116.49,515.19
70,111.72,515.19
71,114.59,514.62
72,110.57,515.15
73,109.60,515.64
74,115.37,515.20
75,114.00,514.28
76,113.59,514.05
77,112.29,514.22
78,113.69,515.53
79,110.27,515.75
80,116.05,515.81
81,115.45,514.82
82,123.89,515.15
83,120.13,514.57
84,114.18,515.58
85,114.80,514.30
86,112.97,516.29
87,110.20,515.26
88,110.61,514.93
89,115.52,515.00
90,113.03,514.61
91,112.39,514.29
92,125.02,514.32
93,116.16,515.06
94,113.71,514.87
95,115.20,514.48
96,112.36,514.30
97,114.08,516.02
98,113.73,515.38
99,111.71,515.27
100,114.83,514.35
