session,latency_ms,bandwidth_kb
1,105.55,903.77
2,103.96,906.94
3,102.10,902.58
4,103.65,904.08
5,103.85,905.68
6,103.40,904.08
7,104.39,905.42
8,107.59,905.54
9,99.98,903.97
10,101.17,904.67
11,104.23,905.59
12,101.61,905.29
13,106.15,906.46
14,102.65,904.05
15,102.14,903.19
16,106.92,904.38
17,106.86,906.15
18,106.06,903.34
19,100.64,901.91
20,100.27,907.06
21,104.99,907.02
22,105.26,905.00
23,104.19,903.36
24,103.10,905.08
25,104.71,905.80
26,102.79,906.04
27,104.70,906.13
28,101.35,907.12
29,102.87,906.48
30,102.87,903.36
31,104.05,904.80
32,103.42,904.62
33,104.68,904.45
34,104.31,906.51
35,102.04,902.86
36,101.82,905.04
37,107.29,904.50
38,101.11,902.43
39,106.70,906.47
40,105.84,904.13
41,111.64,906.33
42,118.70,907.52
43,104.03,904.47
44,114.26,905.78
45,114.35,905.52
46,103.88,903.07
47,104.82,906.37
48,107.47,905.27
49,101.26,904.30
50,104.11,904.83
51,109.95,906.96
52,107.07,903.95
53,109.16,906.48
54,107.66,906.43
55,117.28,904.83
56,114.20,903.56
57,107.50,904.53
58,109.63,906.60
59,104.95,904.94
60,108.13,906.60
61,109.52,906.02
62,103.74,904.32
63,104.61,906.95
64,108.81,904.99
65,107.30,906.25
66,102.78,910.69
67,108.92,910.59
68,107.02,910.92
69,106.98,912.24
70,105.18,911.56
71,103.15,912.03
72,107.44,910.91
73,103.72,912.20
74,105.25,911.18
75,107.50,911.53
76,106.26,912.27
77,104.83,911.34
78,107.43,912.30
79,107.94,911.49
80,107.87,911.13
81,108.13,911.35
82,105.15,911.94
83,102.38,912.39
84,106.64,912.40
85,107.88,910.84
86,106.52,912.35
87,107.49,912.13
88,107.06,911.32
89,105.86,911.37
90,106.16,911.44
91,106.10,910.86
92,105.52,912.20
93,111.00,911.25
94,108.40,911.73
95,108.90,911.20
96,107.15,910.77
97,106.53,911.81
98,107.93,911.06
99,105.02,911.25
100,110.27,910.48
