timestamp,latency_ms,bandwidth_kb,cpu_pct,ram_pct
1745517173,14.04,3.86,75.00,0.154
1745517173,12.93,3.86,75.00,0.154
1745517173,12.89,3.86,81.00,0.153
1745517173,12.68,3.58,81.00,0.154
1745517173,12.91,3.86,81.00,0.153
1745517173,12.83,3.86,81.00,0.153
1745517173,12.89,3.58,81.00,0.154
1745517173,12.85,3.79,72.00,0.154
1745517173,12.76,3.66,81.00,0.154
1745517173,13.06,3.58,75.00,0.154
1745517173,13.04,3.86,75.00,0.153
1745517173,13.04,3.86,75.00,0.154
1745517173,13.08,3.66,66.00,0.154
1745517173,13.09,3.86,75.00,0.154
1745517173,13.00,3.79,75.00,0.154
1745517173,12.76,3.86,81.00,0.153
1745517173,12.75,3.86,72.00,0.153
1745517173,12.86,3.79,81.00,0.154
1745517173,13.00,3.79,66.00,0.153
1745517173,12.83,3.86,81.00,0.153
1745517173,13.12,3.86,75.00,0.154
1745517173,12.84,3.58,72.00,0.154
1745517174,13.01,3.79,75.00,0.153
1745517174,13.45,3.66,75.00,0.154
1745517174,13.67,3.86,83.00,0.153
1745517174,13.09,3.58,75.00,0.153
1745517174,12.88,3.58,75.00,0.154
1745517174,13.03,3.86,75.00,0.153
1745517174,13.47,3.86,75.00,0.154
1745517174,12.79,3.86,81.00,0.154
1745517174,12.91,3.66,75.00,0.154
1745517174,12.92,3.66,75.00,0.155
1745517174,12.89,3.66,75.00,0.154
1745517174,12.95,3.58,75.00,0.154
1745517174,12.82,3.79,81.00,0.154
1745517174,13.03,3.66,75.00,0.153
1745517174,12.79,3.67,81.00,0.153
1745517174,12.83,3.66,81.00,0.152
1745517174,12.82,3.86,81.00,0.153
1745517174,12.91,3.79,75.00,0.153
1745517174,12.72,3.86,81.00,0.154
1745517174,12.72,3.79,81.00,0.153
1745517174,13.23,3.66,75.00,0.153
1745517174,12.78,3.67,81.00,0.154
1745517174,12.82,3.86,81.00,0.153
1745517174,12.64,3.86,81.00,0.154
1745517174,13.00,3.58,75.00,0.154
1745517174,12.77,3.66,81.00,0.153
1745517174,12.87,3.86,75.00,0.154
1745517174,12.98,3.79,75.00,0.153
1745517174,13.12,3.66,75.00,0.153
1745517174,12.85,3.86,75.00,0.154
1745517174,13.03,3.79,75.00,0.153
1745517174,12.83,3.86,75.00,0.153
1745517174,13.15,3.79,75.00,0.154
1745517174,13.06,3.58,66.00,0.154
1745517174,13.32,3.86,75.00,0.154
1745517174,12.90,3.86,75.00,0.153
1745517174,12.79,3.67,72.00,0.153
1745517174,12.83,3.86,75.00,0.153
1745517174,13.00,3.58,75.00,0.153
1745517174,12.85,3.58,75.00,0.153
1745517174,12.77,3.58,81.00,0.154
1745517174,12.69,3.66,81.00,0.153
1745517174,13.00,3.66,75.00,0.153
1745517174,12.88,3.86,75.00,0.154
1745517174,12.99,3.79,75.00,0.153
1745517174,13.77,3.86,83.00,0.154
1745517174,12.95,3.66,75.00,0.153
1745517174,12.50,3.86,72.00,0.154
1745517174,13.90,3.66,76.00,0.153
1745517174,12.91,3.86,75.00,0.153
1745517174,12.97,3.67,75.00,0.154
1745517174,13.09,3.58,66.00,0.153
1745517174,13.13,3.86,75.00,0.153
1745517174,12.59,3.66,81.00,0.153
1745517174,13.02,3.79,75.00,0.153
1745517174,12.64,3.79,81.00,0.153
1745517174,12.74,3.66,81.00,0.154
1745517174,12.97,3.66,75.00,0.154
1745517174,12.82,3.58,81.00,0.153
1745517174,12.59,3.66,72.00,0.154
1745517174,12.97,3.66,75.00,0.154
1745517174,13.06,3.86,75.00,0.153
1745517174,12.69,3.79,81.00,0.154
1745517174,12.93,3.67,75.00,0.154
1745517174,12.83,3.79,75.00,0.153
1745517174,12.87,3.86,81.00,0.154
1745517174,13.01,3.86,75.00,0.154
1745517174,13.13,3.86,75.00,0.153
1745517174,13.08,3.58,75.00,0.154
1745517174,12.93,3.58,75.00,0.153
1745517174,13.10,3.66,75.00,0.154
1745517174,12.73,3.86,81.00,0.154
1745517174,12.85,3.66,75.00,0.154
1745517174,12.95,3.79,66.00,0.153
1745517174,12.88,3.66,75.00,0.153
1745517174,12.68,3.86,81.00,0.153
1745517175,12.80,3.79,81.00,0.153
1745517175,12.56,3.86,72.00,0.153
