timestamp,latency_ms,bandwidth_kb,cpu_pct,ram_pct
1745521479,41.54,16.78,62.00,0.161
1745521479,40.87,16.97,64.00,0.162
1745521479,41.15,16.97,62.00,0.161
1745521479,40.63,16.97,64.00,0.162
1745521479,41.08,16.97,60.00,0.161
1745521479,40.80,16.97,64.00,0.162
1745521479,41.32,16.97,62.00,0.162
1745521479,40.76,16.97,64.00,0.161
1745521479,40.39,16.97,64.00,0.163
1745521479,40.81,16.97,64.00,0.162
1745521479,41.01,16.91,62.00,0.162
1745521479,40.68,16.97,64.00,0.161
1745521479,40.67,16.97,64.00,0.161
1745521479,40.88,16.97,62.00,0.162
1745521479,41.28,16.97,65.00,0.163
1745521479,41.19,16.97,62.00,0.161
1745521479,41.70,16.97,65.00,0.161
1745521479,41.38,16.97,62.00,0.162
1745521479,40.68,16.69,64.00,0.161
1745521479,40.96,16.97,62.00,0.161
1745521479,40.87,16.97,60.00,0.161
1745521479,41.12,16.97,62.00,0.160
1745521479,40.63,16.69,64.00,0.162
1745521479,41.18,16.97,60.00,0.162
1745521480,40.85,16.78,62.00,0.162
1745521480,41.43,16.97,65.00,0.161
1745521480,41.00,16.69,62.00,0.162
1745521480,40.70,16.97,64.00,0.161
1745521480,40.60,16.91,64.00,0.162
1745521480,41.16,16.69,62.00,0.162
1745521480,41.26,16.97,60.00,0.161
1745521480,40.85,16.97,64.00,0.161
1745521480,40.96,16.97,62.00,0.163
1745521480,40.87,16.69,64.00,0.163
1745521480,40.91,16.97,62.00,0.161
1745521480,41.39,16.91,62.00,0.161
1745521480,40.80,16.97,64.00,0.162
1745521480,40.79,16.97,64.00,0.161
1745521480,40.65,16.97,61.00,0.162
1745521480,41.33,16.97,62.00,0.161
1745521480,40.78,16.97,64.00,0.163
1745521480,40.50,16.97,64.00,0.162
1745521480,41.20,16.97,62.00,0.161
1745521480,40.94,16.97,62.00,0.162
1745521480,40.61,16.97,64.00,0.163
1745521480,40.58,16.97,64.00,0.163
1745521480,41.32,16.97,60.00,0.161
1745521480,41.35,16.97,62.00,0.162
1745521481,40.66,16.97,64.00,0.162
1745521481,40.68,16.97,64.00,0.161
1745521481,41.79,16.97,65.00,0.163
1745521481,40.47,16.97,64.00,0.161
1745521481,40.71,16.97,64.00,0.162
1745521481,40.90,16.97,62.00,0.161
1745521481,40.53,16.97,64.00,0.162
1745521481,40.92,16.97,60.00,0.162
1745521481,40.64,16.97,61.00,0.162
1745521481,40.69,16.91,64.00,0.162
1745521481,40.78,16.97,64.00,0.161
1745521481,41.12,16.97,62.00,0.162
1745521481,40.79,16.97,64.00,0.162
1745521481,40.66,16.97,64.00,0.162
1745521481,41.12,16.97,60.00,0.162
1745521481,40.89,16.97,62.00,0.161
1745521481,41.33,16.97,62.00,0.162
1745521481,40.62,16.97,61.00,0.162
1745521481,41.34,16.97,65.00,0.161
1745521481,40.68,16.91,64.00,0.161
1745521481,40.90,16.78,62.00,0.161
1745521481,41.14,16.97,62.00,0.161
1745521481,41.65,16.97,65.00,0.163
1745521481,41.51,16.69,62.00,0.161
1745521481,41.20,16.69,62.00,0.162
1745521482,40.86,16.97,64.00,0.162
1745521482,41.09,16.97,62.00,0.162
1745521482,40.68,16.97,64.00,0.163
1745521482,40.98,16.97,62.00,0.162
1745521482,41.06,16.97,62.00,0.161
1745521482,41.03,16.78,62.00,0.162
1745521482,41.24,16.97,62.00,0.161
1745521482,40.72,16.91,64.00,0.161
1745521482,40.78,16.97,64.00,0.162
1745521482,40.72,16.97,64.00,0.163
1745521482,40.57,16.97,61.00,0.162
1745521482,41.76,16.91,65.00,0.162
1745521482,41.22,16.97,62.00,0.161
1745521482,40.91,16.97,61.00,0.161
1745521482,41.24,16.97,62.00,0.161
1745521482,41.07,16.97,62.00,0.161
1745521482,40.89,16.69,64.00,0.162
1745521482,40.57,16.97,64.00,0.161
1745521482,40.91,16.97,64.00,0.162
1745521482,40.97,16.69,62.00,0.161
1745521482,40.62,16.97,61.00,0.163
1745521482,41.33,16.97,65.00,0.161
1745521482,40.40,16.97,61.00,0.162
1745521482,40.96,16.97,62.00,0.160
1745521483,40.79,16.97,64.00,0.163
1745521483,40.58,16.97,64.00,0.162
1745521483,41.51,16.97,65.00,0.161
