timestamp,latency_ms,bandwidth_kb,cpu_pct,ram_pct
1745522882,14.52,8.59,69.00,0.159
1745522882,14.06,8.32,69.00,0.159
1745522882,14.08,8.59,61.00,0.159
1745522882,13.82,8.31,75.00,0.160
1745522882,13.75,8.59,75.00,0.162
1745522882,14.32,8.58,76.00,0.159
1745522882,14.23,8.59,76.00,0.159
1745522883,14.01,8.59,69.00,0.159
1745522883,13.90,8.59,69.00,0.159
1745522883,14.16,8.59,69.00,0.158
1745522883,13.84,8.58,75.00,0.159
1745522883,14.34,8.58,69.00,0.159
1745522883,14.18,8.58,69.00,0.161
1745522883,14.01,8.59,69.00,0.159
1745522883,13.92,8.58,69.00,0.161
1745522883,13.95,8.59,69.00,0.160
1745522883,13.69,8.52,75.00,0.158
1745522883,13.78,8.39,75.00,0.159
1745522883,14.15,8.39,76.00,0.162
1745522883,13.43,8.59,75.00,0.158
1745522883,13.72,8.58,75.00,0.158
1745522883,13.77,8.30,75.00,0.158
1745522883,13.81,8.31,75.00,0.159
1745522883,13.64,8.58,66.00,0.160
1745522883,13.68,8.31,75.00,0.162
1745522883,13.84,8.59,75.00,0.159
1745522883,13.47,8.59,75.00,0.157
1745522883,14.02,8.59,69.00,0.159
1745522883,14.32,8.31,61.00,0.161
1745522883,14.12,8.59,69.00,0.159
1745522883,14.07,8.52,61.00,0.161
1745522883,13.89,8.31,69.00,0.159
1745522883,13.71,8.31,75.00,0.157
1745522883,13.72,8.52,75.00,0.159
1745522883,14.11,8.31,69.00,0.159
1745522883,13.84,8.59,69.00,0.161
1745522883,13.95,8.58,69.00,0.160
1745522883,13.58,8.59,66.00,0.161
1745522883,14.28,8.58,76.00,0.159
1745522883,13.91,8.59,69.00,0.159
1745522883,14.76,8.31,76.00,0.159
1745522883,13.84,8.31,75.00,0.161
1745522883,14.06,8.59,69.00,0.159
1745522883,13.42,8.30,75.00,0.159
1745522883,13.81,8.59,66.00,0.161
1745522883,13.68,8.59,75.00,0.161
1745522883,13.95,8.59,69.00,0.161
1745522883,14.01,8.59,61.00,0.157
1745522883,13.92,8.31,69.00,0.159
1745522883,14.01,8.59,69.00,0.160
1745522883,14.08,8.58,69.00,0.160
1745522883,13.90,8.31,75.00,0.161
1745522883,13.45,8.30,75.00,0.160
1745522883,14.00,8.59,69.00,0.161
1745522883,13.93,8.40,61.00,0.160
1745522883,13.80,8.59,75.00,0.160
1745522883,13.99,8.31,69.00,0.159
1745522883,13.71,8.58,75.00,0.161
1745522883,14.12,8.39,76.00,0.159
1745522883,13.82,8.58,75.00,0.162
1745522883,13.72,8.52,75.00,0.160
1745522883,13.65,8.58,66.00,0.160
1745522883,13.62,8.58,75.00,0.161
1745522883,13.84,8.59,69.00,0.161
1745522883,14.08,8.58,69.00,0.158
1745522883,13.65,8.59,75.00,0.161
1745522883,13.87,8.59,75.00,0.159
1745522883,13.61,8.58,75.00,0.158
1745522883,13.71,8.30,75.00,0.161
1745522883,13.58,8.52,75.00,0.158
1745522883,13.65,8.59,75.00,0.159
1745522883,13.77,8.39,75.00,0.159
1745522883,13.76,8.31,75.00,0.159
1745522883,13.60,8.31,75.00,0.159
1745522883,13.85,8.52,75.00,0.158
1745522883,14.13,8.59,76.00,0.161
1745522883,14.04,8.31,69.00,0.161
1745522883,13.65,8.52,75.00,0.160
1745522884,13.70,8.31,75.00,0.159
1745522884,13.67,8.53,75.00,0.159
1745522884,13.79,8.39,75.00,0.159
1745522884,14.01,8.31,61.00,0.161
1745522884,14.09,8.58,69.00,0.159
1745522884,13.89,8.58,61.00,0.159
1745522884,13.80,8.52,75.00,0.159
1745522884,13.65,8.58,75.00,0.159
1745522884,14.01,8.31,61.00,0.160
1745522884,13.70,8.31,75.00,0.159
1745522884,13.61,8.59,75.00,0.160
1745522884,13.73,8.53,75.00,0.159
1745522884,14.16,8.31,69.00,0.159
1745522884,13.88,8.58,69.00,0.159
1745522884,13.91,8.52,75.00,0.158
1745522884,14.19,8.58,69.00,0.161
1745522884,15.18,8.59,71.00,0.160
1745522884,15.37,8.59,71.00,0.162
1745522884,15.51,8.52,64.00,0.159
1745522884,14.71,8.59,69.00,0.161
1745522884,14.49,8.52,61.00,0.161
1745522884,13.87,8.59,75.00,0.159
